                       	bcopy	simple_bcopy
Length 1920, alignment 60/60:	781.25	4867.36
Length 1952, alignment  0/ 0:	596.516	4947.92
Length 1952, alignment 61/ 0:	1010.75	4956.88
Length 1952, alignment  0/61:	1201.17	4954.42
Length 1952, alignment 61/61:	630.688	4956.05
Length 1984, alignment  0/ 0:	597.328	5027.67
Length 1984, alignment 62/ 0:	1023.77	5035.81
Length 1984, alignment  0/62:	1203.61	5027.67
Length 1984, alignment 62/62:	638.844	5034.17
Length 2016, alignment  0/ 0:	605.469	5115.56
Length 2016, alignment 63/ 0:	1039.22	5114.73
Length 2016, alignment  0/63:	1223.97	5109.05
Length 2016, alignment 63/63:	647.781	5114.75
