                       	memmem	simple_memmem
String 9XORP3K>L@14, offset 237:	831.703	1310.22
String 7Q3FAT555=13EXKX0HHFRAJ?37KFE, offset 20371:	39204.1	102689
String 6, offset 563:	1158.03	2909.34
String =1RZFG<YTLJR, offset 4780:	22632.7	30931.8
String SL1VSW?HKE, offset 41222:	193980	265508
String @7, offset 16497:	69200	105004
String K9W5N42@W, offset 9454:	39918.6	60400.4
String 3K>L1ZK8Q, offset 242:	795.906	1337.08
String 0VQTLZS85I8E26[5NL<31VHXPKX2D, offset 12352:	23983.6	62316.9
String C91RRI92L0XCUA=VG4, offset 124421:	581548	801914
String S0, offset 7871:	33240.6	56610.5
String KLIAE3UFG06A3FSSJ?71EZF92IYBZ, offset 5057:	24285.5	32492.7
String 2H?0PCXFNOFR<23R8A75597G, offset 15172:	29486.5	76357.4
String J738XCME[=08B, offset 1964:	8582.36	12510.6
String S9DI9S<3Y[57MFIQ3ZT4, offset 8648:	40422.4	55883.8
String 7ZXAE80UOMI0, offset 420:	1188.97	2238.77
String 71IMMEVY7HQLXRR2SI06E7X1AS, offset 28826:	55151.4	145168
String >7OH0ICNDV7<<IGFY6VSHM1DYT4, offset 2797:	13586.4	19019.4
String OQS3B?EM, offset 86207:	362170	598250
String [[<IQMCBDIGMWCP8MYUSG, offset 12778:	53994.1	81838.4
String 9>2ZI, offset 90847:	172410	457751
String 4, offset 163838:	309724	824736
String BD?FDAXZNY<J6LEM<<, offset 9866:	41785.5	63116.9
String 4DBJ58Z0P05W@?, offset 16954:	32618	85310.1
String J9H36@QFP3MF5=M, offset 97692:	456548	635715
String ZDXW@APO6AZGU?W5@@2Z, offset 146:	1164.56	1152.34
String @PHGU<VB?ZAMHUCO2UL3?POUPSZ<NL, offset 311:	1750.48	2312.83
String GT3<JE?83, offset 5314:	22554.5	33925.8
String PNFEP43FXQJTD@HW, offset 258:	1764.33	1923.02
String HNYIQK4ODX[<9P?, offset 2282:	10805.7	15009
String 40V0>0EV@CPRANQ9LUID, offset 8294:	16207.7	41755.4
