                       	strtok	oldstrtok
Length   20/2, alignment  0/ 0, fail:	602.203	1115.72
Length   20/2, alignment  0/ 3, found:	605.469	1092.94
Length   20/2, alignment  0/ 3, fail:	602.203	1125.48
Length   20/2, alignment  0/ 9, found:	595.703	1100.25
Length   20/2, alignment  0/ 9, fail:	603.031	1124.67
Length   20/2, alignment  0/15, found:	605.469	1096.19
Length   20/2, alignment  0/15, fail:	613.594	1113.28
Length   20/2, alignment  3/ 0, found:	597.328	1104.33
Length   20/2, alignment  3/ 0, fail:	594.078	1106.77
Length   20/2, alignment  3/ 3, found:	595.703	1094.58
Length   20/2, alignment  3/ 3, fail:	603.844	1098.62
Length   20/2, alignment  3/ 9, found:	595.703	1102.7
Length   20/2, alignment  3/ 9, fail:	593.266	1108.39
Length   20/2, alignment  3/15, found:	596.516	1101.89
Length   20/2, alignment  3/15, fail:	602.219	1097.81
Length   20/2, alignment  9/ 0, found:	603.031	1094.56
Length   20/2, alignment  9/ 0, fail:	603.031	1121.42
Length   20/2, alignment  9/ 3, found:	596.516	1103.52
Length   20/2, alignment  9/ 3, fail:	603.016	1112.47
Length   20/2, alignment  9/ 9, found:	605.469	1095.38
Length   20/2, alignment  9/ 9, fail:	603.844	1118.97
Length   20/2, alignment  9/15, found:	596.516	1103.52
Length   20/2, alignment  9/15, fail:	603.031	1121.41
Length   20/2, alignment 15/ 0, found:	605.469	1088.05
Length   20/2, alignment 15/ 0, fail:	594.078	1098.64
Length   20/2, alignment 15/ 3, found:	595.703	1098.64
Length   20/2, alignment 15/ 3, fail:	594.078	1106.77
Length   20/2, alignment 15/ 9, found:	595.703	1088.05
Length   20/2, alignment 15/ 9, fail:	601.391	1101.89
Length   20/2, alignment 15/15, found:	596.516	1096.19
Length   20/2, alignment 15/15, fail:	594.078	1108.41
Length   22/2, alignment  0/ 0, found:	595.703	1118.97
Length   22/2, alignment  0/ 0, fail:	614.422	1116.55
Length   22/2, alignment  0/ 3, found:	597.328	1100.27
Length   22/2, alignment  0/ 3, fail:	603.031	1121.42
Length   22/2, alignment  0/ 9, found:	596.516	1107.58
Length   22/2, alignment  0/ 9, fail:	603.844	1115.72
Length   22/2, alignment  0/15, found:	603.828	1098.62
Length   22/2, alignment  0/15, fail:	603.844	1124.67
Length   22/2, alignment  3/ 0, found:	606.281	1123.86
Length   22/2, alignment  3/ 0, fail:	595.703	1099.44
Length   22/2, alignment  3/ 3, found:	614.422	1114.91
Length   22/2, alignment  3/ 3, fail:	594.891	1106.77
Length   22/2, alignment  3/ 9, found:	604.656	1123.05
Length   22/2, alignment  3/ 9, fail:	595.703	1099.45
Length   22/2, alignment  3/15, found:	616.047	1116.53
Length   22/2, alignment  3/15, fail:	594.891	1107.59
Length   22/2, alignment  9/ 0, found:	596.516	1106.77
Length   22/2, alignment  9/ 0, fail:	603.844	1121.42
Length   22/2, alignment  9/ 3, found:	604.656	1099.44
Length   22/2, alignment  9/ 3, fail:	613.609	1112.47
Length   22/2, alignment  9/ 9, found:	596.516	1110.03
Length   22/2, alignment  9/ 9, fail:	604.656	1121.42
Length   22/2, alignment  9/15, found:	596.516	1099.44
Length   22/2, alignment  9/15, fail:	613.609	1112.47
Length   22/2, alignment 15/ 0, found:	604.656	1263.03
Length   22/2, alignment 15/ 0, fail:	594.891	1107.58
Length   22/2, alignment 15/ 3, found:	614.422	1097.02
Length   22/2, alignment 15/ 3, fail:	604.656	1099.45
Length   22/2, alignment 15/ 9, found:	605.469	1107.59
Length   22/2, alignment 15/ 9, fail:	594.891	1110.02
Length   22/2, alignment 15/15, found:	606.281	1095.38
Length   22/2, alignment 15/15, fail:	603.031	1100.27
Length   24/2, alignment  0/ 0, found:	606.281	1128.75
Length   24/2, alignment  0/ 0, fail:	604.641	1126.31
Length   24/2, alignment  0/ 3, found:	605.469	1129.56
Length   24/2, alignment  0/ 3, fail:	612.797	1118.98
Length   24/2, alignment  0/ 9, found:	605.469	1120.61
Length   24/2, alignment  0/ 9, fail:	603.031	1125.48
Length   24/2, alignment  0/15, found:	605.469	1128.73
Length   24/2, alignment  0/15, fail:	611.984	1114.91
Length   24/2, alignment  3/ 0, found:	614.422	1114.91
Length   24/2, alignment  3/ 0, fail:	595.703	1108.39
Length   24/2, alignment  3/ 3, found:	604.656	1124.67
Length   24/2, alignment  3/ 3, fail:	594.891	1100.27
Length   24/2, alignment  3/ 9, found:	612.797	1115.72
Length   24/2, alignment  3/ 9, fail:	594.078	1111.66
Length   24/2, alignment  3/15, found:	604.656	1124.67
Length   24/2, alignment  3/15, fail:	594.078	1110.02
Length   24/2, alignment  9/ 0, found:	613.609	1120.61
Length   24/2, alignment  9/ 0, fail:	603.844	1124.67
Length   24/2, alignment  9/ 3, found:	604.656	1127.92
Length   24/2, alignment  9/ 3, fail:	603.828	1121.42
Length   24/2, alignment  9/ 9, found:	623.375	1120.59
Length   24/2, alignment  9/ 9, fail:	613.609	1116.55
Length   24/2, alignment  9/15, found:	604.656	1128.75
Length   24/2, alignment  9/15, fail:	603.016	1127.12
Length   24/2, alignment 15/ 0, found:	604.641	1097.81
Length   24/2, alignment 15/ 0, fail:	602.203	1101.89
Length   24/2, alignment 15/ 3, found:	605.469	1105.16
Length   24/2, alignment 15/ 3, fail:	594.078	1113.28
Length   24/2, alignment 15/ 9, found:	605.469	1105.16
Length   24/2, alignment 15/ 9, fail:	603.844	1101.89
Length   24/2, alignment 15/15, found:	604.656	1097
Length   24/2, alignment 15/15, fail:	594.891	1110.03
Length   26/2, alignment  0/ 0, found:	605.469	1131.19
Length   26/2, alignment  0/ 0, fail:	611.969	1119.78
Length   26/2, alignment  0/ 3, found:	615.234	1123.05
Length   26/2, alignment  0/ 3, fail:	603.031	1127.12
Length   26/2, alignment  0/ 9, found:	606.281	1132
Length   26/2, alignment  0/ 9, fail:	603.844	1118.98
Length   26/2, alignment  0/15, found:	613.609	1123.05
Length   26/2, alignment  0/15, fail:	603.031	1122.23
Length   26/2, alignment  3/ 0, found:	615.234	1134.44
Length   26/2, alignment  3/ 0, fail:	594.891	1098.64
Length   26/2, alignment  3/ 3, found:	624.188	1124.69
Length   26/2, alignment  3/ 3, fail:	594.078	1107.58
Length   26/2, alignment  3/ 9, found:	613.609	1132.81
Length   26/2, alignment  3/ 9, fail:	594.891	1107.59
Length   26/2, alignment  3/15, found:	622.562	1124.67
Length   26/2, alignment  3/15, fail:	596.516	1099.44
Length   26/2, alignment  9/ 0, found:	606.281	1127.92
Length   26/2, alignment  9/ 0, fail:	603.844	1122.23
Length   26/2, alignment  9/ 3, found:	605.469	1118.98
Length   26/2, alignment  9/ 3, fail:	611.984	1114.09
Length   26/2, alignment  9/ 9, found:	605.469	1127.11
Length   26/2, alignment  9/ 9, fail:	603.828	1123.05
Length   26/2, alignment  9/15, found:	606.281	1121.42
Length   26/2, alignment  9/15, fail:	611.984	1116.55
Length   26/2, alignment 15/ 0, found:	615.234	1122.22
Length   26/2, alignment 15/ 0, fail:	595.703	1276.05
Length   26/2, alignment 15/ 3, found:	625.828	1111.66
Length   26/2, alignment 15/ 3, fail:	595.703	1110.84
Length   26/2, alignment 15/ 9, found:	614.422	1118.98
Length   26/2, alignment 15/ 9, fail:	594.891	1108.39
Length   26/2, alignment 15/15, found:	624.188	1110.84
Length   26/2, alignment 15/15, fail:	602.219	1103.52
Length   28/2, alignment  0/ 0, found:	614.422	1140.12
Length   28/2, alignment  0/ 0, fail:	603.844	1124.67
Length   28/2, alignment  0/ 3, found:	616.047	1132
Length   28/2, alignment  0/ 3, fail:	612.797	1115.72
Length   28/2, alignment  0/ 9, found:	614.422	1136.89
Length   28/2, alignment  0/ 9, fail:	604.656	1121.41
Length   28/2, alignment  0/15, found:	612.797	1131.19
Length   28/2, alignment  0/15, fail:	613.609	1116.53
Length   28/2, alignment  3/ 0, found:	615.234	1132
Length   28/2, alignment  3/ 0, fail:	593.266	1108.41
Length   28/2, alignment  3/ 3, found:	615.234	1122.23
Length   28/2, alignment  3/ 3, fail:	603.828	1101.08
Length   28/2, alignment  3/ 9, found:	613.609	1132
Length   28/2, alignment  3/ 9, fail:	594.875	1108.39
Length   28/2, alignment  3/15, found:	614.422	1131.19
Length   28/2, alignment  3/15, fail:	603.031	1101.89
Length   28/2, alignment  9/ 0, found:	622.562	1129.56
Length   28/2, alignment  9/ 0, fail:	603.031	1121.42
Length   28/2, alignment  9/ 3, found:	613.609	1136.89
Length   28/2, alignment  9/ 3, fail:	611.156	1118.16
Length   28/2, alignment  9/ 9, found:	621.734	1127.11
Length   28/2, alignment  9/ 9, fail:	603.844	1127.11
Length   28/2, alignment  9/15, found:	613.609	1135.25
Length   28/2, alignment  9/15, fail:	603.844	1115.72
Length   28/2, alignment 15/ 0, found:	622.562	1110.84
Length   28/2, alignment 15/ 0, fail:	594.078	1111.66
Length   28/2, alignment 15/ 3, found:	614.422	1118.97
Length   28/2, alignment 15/ 3, fail:	594.078	1099.45
Length   28/2, alignment 15/ 9, found:	624.188	1110.02
Length   28/2, alignment 15/ 9, fail:	594.891	1111.66
Length   28/2, alignment 15/15, found:	614.422	1119.78
Length   28/2, alignment 15/15, fail:	594.891	1111.66
Length   30/2, alignment  0/ 0, found:	621.734	1129.56
Length   30/2, alignment  0/ 0, fail:	604.656	1129.56
Length   30/2, alignment  0/ 3, found:	613.594	1140.14
Length   30/2, alignment  0/ 3, fail:	603.844	1127.12
Length   30/2, alignment  0/ 9, found:	623.375	1128.75
Length   30/2, alignment  0/ 9, fail:	611.969	1119.78
Length   30/2, alignment  0/15, found:	615.234	1138.52
Length   30/2, alignment  0/15, fail:	603.844	1124.67
Length   30/2, alignment  3/ 0, found:	635.578	1136.88
Length   30/2, alignment  3/ 0, fail:	604.656	1102.7
Length   30/2, alignment  3/ 3, found:	625	1144.22
Length   30/2, alignment  3/ 3, fail:	594.891	1107.59
Length   30/2, alignment  3/ 9, found:	624.188	1136.89
Length   30/2, alignment  3/ 9, fail:	603.844	1102.7
Length   30/2, alignment  3/15, found:	623.359	1145.83
Length   30/2, alignment  3/15, fail:	594.891	1110.03
Length   30/2, alignment  9/ 0, found:	616.859	1129.55
Length   30/2, alignment  9/ 0, fail:	612.797	1109.22
Length   30/2, alignment  9/ 3, found:	614.422	1136.06
Length   30/2, alignment  9/ 3, fail:	603.844	1124.69
Length   30/2, alignment  9/ 9, found:	614.422	1127.92
Length   30/2, alignment  9/ 9, fail:	611.984	1116.53
Length   30/2, alignment  9/15, found:	614.422	1134.44
Length   30/2, alignment  9/15, fail:	604.641	1123.86
Length   30/2, alignment 15/ 0, found:	626.625	1127.92
Length   30/2, alignment 15/ 0, fail:	603.844	1101.08
Length   30/2, alignment 15/ 3, found:	624.188	1132.81
Length   30/2, alignment 15/ 3, fail:	594.078	1121.42
Length   30/2, alignment 15/ 9, found:	625.828	1119.8
Length   30/2, alignment 15/ 9, fail:	603.031	1101.08
Length   30/2, alignment 15/15, found:	623.375	1128.73
Length   30/2, alignment 15/15, fail:	594.891	1112.47
Length    6/3, alignment  0/ 0, found:	554.203	1030.28
Length    6/3, alignment  0/ 0, fail:	590.016	1051.42
Length    6/3, alignment  0/ 3, found:	563.156	1022.14
Length    6/3, alignment  0/ 3, fail:	581.062	1059.56
Length    6/3, alignment  0/ 9, found:	555.016	1031.91
Length    6/3, alignment  0/ 9, fail:	581.859	1061.19
Length    6/3, alignment  0/15, found:	563.141	1022.14
Length    6/3, alignment  0/15, fail:	590.016	1051.44
