                       	strtok	oldstrtok
Length  351/27, alignment  3/ 0, fail:	1250	1866.05
Length  351/27, alignment  3/ 3, found:	1250	1867.67
Length  351/27, alignment  3/ 3, fail:	1242.67	1868.48
Length  351/27, alignment  3/ 9, found:	1241.05	1867.69
Length  351/27, alignment  3/ 9, fail:	1242.67	1858.72
Length  351/27, alignment  3/15, found:	1241.86	1867.67
Length  351/27, alignment  3/15, fail:	1242.67	1868.5
Length  351/27, alignment  9/ 0, found:	1241.86	1866.05
Length  351/27, alignment  9/ 0, fail:	1242.67	1867.67
Length  351/27, alignment  9/ 3, found:	1241.86	1865.23
Length  351/27, alignment  9/ 3, fail:	1242.67	1866.86
Length  351/27, alignment  9/ 9, found:	1241.86	1862.8
Length  351/27, alignment  9/ 9, fail:	1241.88	1866.86
Length  351/27, alignment  9/15, found:	1249.19	1866.86
Length  351/27, alignment  9/15, fail:	1250	1866.88
Length  351/27, alignment 15/ 0, found:	1250	1867.69
Length  351/27, alignment 15/ 0, fail:	1260.58	1867.67
Length  351/27, alignment 15/ 3, found:	1250	1866.86
Length  351/27, alignment 15/ 3, fail:	1250	1866.86
Length  351/27, alignment 15/ 9, found:	1250	1866.05
Length  351/27, alignment 15/ 9, fail:	1250.81	1867.67
Length  351/27, alignment 15/15, found:	1250	1866.86
Length  351/27, alignment 15/15, fail:	1250.81	1866.06
Length  378/27, alignment  0/ 0, found:	1480.3	1923.02
Length  378/27, alignment  0/ 0, fail:	1305.34	1923.83
Length  378/27, alignment  0/ 3, found:	1304.53	1920.58
Length  378/27, alignment  0/ 3, fail:	1305.33	1921.38
Length  378/27, alignment  0/ 9, found:	1304.53	1922.2
Length  378/27, alignment  0/ 9, fail:	1303.72	1921.38
Length  378/27, alignment  0/15, found:	1304.53	1922.2
Length  378/27, alignment  0/15, fail:	1304.53	1919.77
Length  378/27, alignment  3/ 0, found:	1313.48	1930.34
Length  378/27, alignment  3/ 0, fail:	1314.3	1931.95
Length  378/27, alignment  3/ 3, found:	1315.11	1931.95
Length  378/27, alignment  3/ 3, fail:	1314.3	1931.95
Length  378/27, alignment  3/ 9, found:	1306.16	1930.33
Length  378/27, alignment  3/ 9, fail:	1306.97	1932.78
Length  378/27, alignment  3/15, found:	1305.34	1931.97
Length  378/27, alignment  3/15, fail:	1306.14	1931.16
Length  378/27, alignment  9/ 0, found:	1297.19	1921.38
Length  378/27, alignment  9/ 0, fail:	1297.2	1923.02
Length  378/27, alignment  9/ 3, found:	1295.58	1921.39
Length  378/27, alignment  9/ 3, fail:	1296.39	1913.25
Length  378/27, alignment  9/ 9, found:	1296.39	1922.2
Length  378/27, alignment  9/ 9, fail:	1296.39	1922.2
Length  378/27, alignment  9/15, found:	1297.19	1920.56
Length  378/27, alignment  9/15, fail:	1296.39	1921.38
Length  378/27, alignment 15/ 0, found:	1314.3	1942.55
Length  378/27, alignment 15/ 0, fail:	1315.92	1930.34
Length  378/27, alignment 15/ 3, found:	1314.28	1929.52
Length  378/27, alignment 15/ 3, fail:	1314.28	1929.53
Length  378/27, alignment 15/ 9, found:	1312.67	1930.34
Length  378/27, alignment 15/ 9, fail:	1315.11	1930.34
Length  378/27, alignment 15/15, found:	1315.11	1931.16
Length  378/27, alignment 15/15, fail:	1314.28	1928.7
Length  405/27, alignment  0/ 0, found:	1368	1985.67
Length  405/27, alignment  0/ 0, fail:	1372.08	1985.67
Length  405/27, alignment  0/ 3, found:	1369.62	1984.86
Length  405/27, alignment  0/ 3, fail:	1369.62	1986.48
Length  405/27, alignment  0/ 9, found:	1369.62	1984.88
Length  405/27, alignment  0/ 9, fail:	1361.48	1980.8
Length  405/27, alignment  0/15, found:	1359.88	1981.61
Length  405/27, alignment  0/15, fail:	1360.69	2155.77
Length  405/27, alignment  3/ 0, found:	1378.58	1991.38
Length  405/27, alignment  3/ 0, fail:	1377.77	1995.45
Length  405/27, alignment  3/ 3, found:	1378.58	1994.62
Length  405/27, alignment  3/ 3, fail:	1379.39	1994.62
Length  405/27, alignment  3/ 9, found:	1378.58	1995.44
Length  405/27, alignment  3/ 9, fail:	1377.77	1993
Length  405/27, alignment  3/15, found:	1371.25	1995.44
Length  405/27, alignment  3/15, fail:	1370.45	1994.64
Length  405/27, alignment  9/ 0, found:	1362.3	1985.67
Length  405/27, alignment  9/ 0, fail:	1369.62	1984.05
Length  405/27, alignment  9/ 3, found:	1368	1985.67
Length  405/27, alignment  9/ 3, fail:	1369.64	1985.67
Length  405/27, alignment  9/ 9, found:	1370.44	1984.86
Length  405/27, alignment  9/ 9, fail:	1369.62	1986.48
Length  405/27, alignment  9/15, found:	1368	1986.5
Length  405/27, alignment  9/15, fail:	1370.44	1997.89
Length  405/27, alignment 15/ 0, found:	1369.62	1994.64
Length  405/27, alignment 15/ 0, fail:	1370.44	1995.44
Length  405/27, alignment 15/ 3, found:	1369.62	1993.81
Length  405/27, alignment 15/ 3, fail:	1378.58	1996.27
Length  405/27, alignment 15/ 9, found:	1378.58	1993.81
Length  405/27, alignment 15/ 9, fail:	1378.58	1993.81
Length  405/27, alignment 15/15, found:	1378.59	1994.62
Length  405/27, alignment 15/15, fail:	1379.39	1996.25
Length   56/28, alignment  0/ 0, found:	575.359	1189.77
Length   56/28, alignment  0/ 0, fail:	566.406	1198.72
Length   56/28, alignment  0/ 3, found:	567.219	1193.03
Length   56/28, alignment  0/ 3, fail:	567.219	1193.03
Length   56/28, alignment  0/ 9, found:	575.359	1184.89
Length   56/28, alignment  0/ 9, fail:	568.031	1194.66
Length   56/28, alignment  0/15, found:	568.031	1193.84
Length   56/28, alignment  0/15, fail:	565.594	1193.84
Length   56/28, alignment  3/ 0, found:	574.547	1184.91
Length   56/28, alignment  3/ 0, fail:	566.406	1197.09
Length   56/28, alignment  3/ 3, found:	566.406	1196.3
Length   56/28, alignment  3/ 3, fail:	565.594	1184.09
Length   56/28, alignment  3/ 9, found:	577.812	1185.7
Length   56/28, alignment  3/ 9, fail:	567.219	1193.84
Length   56/28, alignment  3/15, found:	566.406	1193.03
Length   56/28, alignment  3/15, fail:	568.031	1185.72
Length   56/28, alignment  9/ 0, found:	573.734	1184.91
Length   56/28, alignment  9/ 0, fail:	567.219	1194.66
Length   56/28, alignment  9/ 3, found:	566.406	1194.66
Length   56/28, alignment  9/ 3, fail:	567.219	1184.89
Length   56/28, alignment  9/ 9, found:	574.547	1184.89
Length   56/28, alignment  9/ 9, fail:	567.219	1193.84
Length   56/28, alignment  9/15, found:	567.219	1369.64
Length   56/28, alignment  9/15, fail:	576.984	1191.41
Length   56/28, alignment 15/ 0, found:	567.219	1199.55
Length   56/28, alignment 15/ 0, fail:	565.594	1197.92
Length   56/28, alignment 15/ 3, found:	566.406	1198.73
Length   56/28, alignment 15/ 3, fail:	574.547	1190.59
Length   56/28, alignment 15/ 9, found:	567.219	1198.73
Length   56/28, alignment 15/ 9, fail:	567.219	1199.55
Length   56/28, alignment 15/15, found:	566.406	1198.73
Length   56/28, alignment 15/15, fail:	576.172	1191.41
Length   84/28, alignment  0/ 0, found:	631.516	1262.2
Length   84/28, alignment  0/ 0, fail:	631.5	1262.2
Length   84/28, alignment  0/ 3, found:	639.656	1253.25
Length   84/28, alignment  0/ 3, fail:	631.5	1263.02
Length   84/28, alignment  0/ 9, found:	631.516	1276.05
Length   84/28, alignment  0/ 9, fail:	641.281	1254.88
Length   84/28, alignment  0/15, found:	631.516	1264.66
Length   84/28, alignment  0/15, fail:	631.5	1263.03
Length   84/28, alignment  3/ 0, found:	639.641	1253.25
Length   84/28, alignment  3/ 0, fail:	630.703	1262.2
Length   84/28, alignment  3/ 3, found:	629.875	1263.02
Length   84/28, alignment  3/ 3, fail:	641.281	1254.88
Length   84/28, alignment  3/ 9, found:	631.516	1260.58
Length   84/28, alignment  3/ 9, fail:	630.703	1262.2
Length   84/28, alignment  3/15, found:	630.703	1254.88
Length   84/28, alignment  3/15, fail:	639.656	1261.39
Length   84/28, alignment  9/ 0, found:	632.328	1262.2
Length   84/28, alignment  9/ 0, fail:	631.5	1254.88
Length   84/28, alignment  9/ 3, found:	639.641	1263.83
Length   84/28, alignment  9/ 3, fail:	631.5	1258.95
Length   84/28, alignment  9/ 9, found:	630.703	1249.19
Length   84/28, alignment  9/ 9, fail:	639.656	1262.2
Length   84/28, alignment  9/15, found:	630.688	1262.2
Length   84/28, alignment  9/15, fail:	631.516	1255.69
Length   84/28, alignment 15/ 0, found:	642.078	1262.2
Length   84/28, alignment 15/ 0, fail:	631.516	1263.83
Length   84/28, alignment 15/ 3, found:	629.875	1254.89
Length   84/28, alignment 15/ 3, fail:	639.656	1263.02
Length   84/28, alignment 15/ 9, found:	630.703	1262.2
Length   84/28, alignment 15/ 9, fail:	631.516	1254.89
Length   84/28, alignment 15/15, found:	638.828	1262.2
Length   84/28, alignment 15/15, fail:	631.516	1263.03
Length  112/28, alignment  0/ 0, found:	695.812	1319.17
Length  112/28, alignment  0/ 0, fail:	703.938	1325.69
Length  112/28, alignment  0/ 3, found:	694.984	1326.48
Length  112/28, alignment  0/ 3, fail:	705.562	1318.36
Length  112/28, alignment  0/ 9, found:	696.609	1327.31
Length  112/28, alignment  0/ 9, fail:	694.984	1318.36
Length  112/28, alignment  0/15, found:	703.938	1326.5
Length  112/28, alignment  0/15, fail:	695	1326.48
Length  112/28, alignment  3/ 0, found:	702.312	1319.17
Length  112/28, alignment  3/ 0, fail:	695.797	1326.5
Length  112/28, alignment  3/ 3, found:	695.797	1327.31
Length  112/28, alignment  3/ 3, fail:	703.125	1327.31
Length  112/28, alignment  3/ 9, found:	694.984	1325.67
Length  112/28, alignment  3/ 9, fail:	705.578	1318.36
Length  112/28, alignment  3/15, found:	695	1328.12
Length  112/28, alignment  3/15, fail:	695.797	1326.48
Length  112/28, alignment  9/ 0, found:	703.938	1318.36
Length  112/28, alignment  9/ 0, fail:	696.609	1327.31
Length  112/28, alignment  9/ 3, found:	696.625	1494.95
Length  112/28, alignment  9/ 3, fail:	696.609	1339.52
Length  112/28, alignment  9/ 9, found:	695	1318.36
Length  112/28, alignment  9/ 9, fail:	703.938	1326.5
Length  112/28, alignment  9/15, found:	695.797	1326.48
Length  112/28, alignment  9/15, fail:	703.125	1317.55
Length  112/28, alignment 15/ 0, found:	694.172	1327.31
Length  112/28, alignment 15/ 0, fail:	695.797	1326.48
Length  112/28, alignment 15/ 3, found:	705.562	1326.5
Length  112/28, alignment 15/ 3, fail:	694.984	1326.5
Length  112/28, alignment 15/ 9, found:	703.938	1318.36
Length  112/28, alignment 15/ 9, fail:	695.812	1327.31
Length  112/28, alignment 15/15, found:	696.609	1328.12
Length  112/28, alignment 15/15, fail:	704.75	1329.77
Length  140/28, alignment  0/ 0, found:	759.281	1390.8
Length  140/28, alignment  0/ 0, fail:	767.422	1381.02
Length  140/28, alignment  0/ 3, found:	759.281	1390.8
Length  140/28, alignment  0/ 3, fail:	768.234	1382.66
Length  140/28, alignment  0/ 9, found:	760.094	1391.59
Length  140/28, alignment  0/ 9, fail:	760.094	1383.47
Length  140/28, alignment  0/15, found:	760.906	1390.78
Length  140/28, alignment  0/15, fail:	760.094	1390.8
Length  140/28, alignment  3/ 0, found:	767.406	1390.78
Length  140/28, alignment  3/ 0, fail:	759.281	1389.97
Length  140/28, alignment  3/ 3, found:	767.422	1391.59
Length  140/28, alignment  3/ 3, fail:	760.094	1391.61
Length  140/28, alignment  3/ 9, found:	767.422	1381.84
Length  140/28, alignment  3/ 9, fail:	760.906	1389.98
Length  140/28, alignment  3/15, found:	767.422	1381.84
Length  140/28, alignment  3/15, fail:	760.094	1392.42
Length  140/28, alignment  9/ 0, found:	768.219	1383.47
Length  140/28, alignment  9/ 0, fail:	759.281	1390.8
Length  140/28, alignment  9/ 3, found:	760.094	1382.64
Length  140/28, alignment  9/ 3, fail:	759.281	1391.61
Length  140/28, alignment  9/ 9, found:	760.094	1391.61
Length  140/28, alignment  9/ 9, fail:	768.234	1390.8
Length  140/28, alignment  9/15, found:	759.266	1389.97
Length  140/28, alignment  9/15, fail:	767.422	1389.98
Length  140/28, alignment 15/ 0, found:	758.469	1386.72
Length  140/28, alignment 15/ 0, fail:	767.406	1390.78
Length  140/28, alignment 15/ 3, found:	759.266	1391.61
Length  140/28, alignment 15/ 3, fail:	767.406	1382.64
Length  140/28, alignment 15/ 9, found:	760.078	1391.59
Length  140/28, alignment 15/ 9, fail:	767.422	1382.64
Length  140/28, alignment 15/15, found:	760.094	1391.61
Length  140/28, alignment 15/15, fail:	759.281	1383.45
Length  168/28, alignment  0/ 0, found:	824.391	1455.89
Length  168/28, alignment  0/ 0, fail:	824.391	1446.94
Length  168/28, alignment  0/ 3, found:	825.203	1455.08
Length  168/28, alignment  0/ 3, fail:	831.703	1453.45
Length  168/28, alignment  0/ 9, found:	822.75	1455.89
Length  168/28, alignment  0/ 9, fail:	831.703	1457.52
Length  168/28, alignment  0/15, found:	824.375	1455.08
Length  168/28, alignment  0/15, fail:	832.516	1465.66
Length  168/28, alignment  3/ 0, found:	824.375	1453.45
Length  168/28, alignment  3/ 0, fail:	1197.11	1455.89
Length  168/28, alignment  3/ 3, found:	832.516	1446.94
Length  168/28, alignment  3/ 3, fail:	824.375	1455.08
Length  168/28, alignment  3/ 9, found:	833.344	1455.89
Length  168/28, alignment  3/ 9, fail:	824.375	1455.89
Length  168/28, alignment  3/15, found:	832.516	1454.27
Length  168/28, alignment  3/15, fail:	823.578	1455.08
Length  168/28, alignment  9/ 0, found:	834.156	1455.89
Length  168/28, alignment  9/ 0, fail:	824.375	1455.89
Length  168/28, alignment  9/ 3, found:	831.703	1455.08
Length  168/28, alignment  9/ 3, fail:	824.391	1455.89
Length  168/28, alignment  9/ 9, found:	830.891	1455.08
Length  168/28, alignment  9/ 9, fail:	823.562	1446.94
Length  168/28, alignment  9/15, found:	824.375	1455.08
Length  168/28, alignment  9/15, fail:	824.375	1446.94
Length  168/28, alignment 15/ 0, found:	823.562	1453.45
Length  168/28, alignment 15/ 0, fail:	831.703	1441.23
Length  168/28, alignment 15/ 3, found:	824.391	1451.81
Length  168/28, alignment 15/ 3, fail:	831.703	1447.75
Length  168/28, alignment 15/ 9, found:	823.562	1454.27
Length  168/28, alignment 15/ 9, fail:	831.703	1455.08
Length  168/28, alignment 15/15, found:	823.562	1455.08
Length  168/28, alignment 15/15, fail:	830.891	1456.7
Length  196/28, alignment  0/ 0, found:	887.859	1518.56
Length  196/28, alignment  0/ 0, fail:	896.812	1518.56
Length  196/28, alignment  0/ 3, found:	888.672	1512.05
Length  196/28, alignment  0/ 3, fail:	888.672	1518.55
Length  196/28, alignment  0/ 9, found:	895.172	1520.19
Length  196/28, alignment  0/ 9, fail:	887.047	1518.55
Length  196/28, alignment  0/15, found:	896.812	1520.17
Length  196/28, alignment  0/15, fail:	887.859	1511.23
Length  196/28, alignment  3/ 0, found:	887.859	1518.55
Length  196/28, alignment  3/ 0, fail:	906.578	1521
Length  196/28, alignment  3/ 3, found:	887.859	1518.55
Length  196/28, alignment  3/ 3, fail:	897.625	1519.38
Length  196/28, alignment  3/ 9, found:	887.047	1511.23
Length  196/28, alignment  3/ 9, fail:	888.672	1519.36
Length  196/28, alignment  3/15, found:	896	1520.19
Length  196/28, alignment  3/15, fail:	888.672	1521.81
Length  196/28, alignment  9/ 0, found:	895.984	1518.55
Length  196/28, alignment  9/ 0, fail:	887.859	1512.05
Length  196/28, alignment  9/ 3, found:	887.859	1519.36
Length  196/28, alignment  9/ 3, fail:	895.984	1516.11
Length  196/28, alignment  9/ 9, found:	887.859	1514.48
Length  196/28, alignment  9/ 9, fail:	896	1514.48
Length  196/28, alignment  9/15, found:	888.672	1506.36
Length  196/28, alignment  9/15, fail:	887.859	1514.48
Length  196/28, alignment 15/ 0, found:	896	1504.73
Length  196/28, alignment 15/ 0, fail:	887.859	1517.73
Length  196/28, alignment 15/ 3, found:	897.625	1521
Length  196/28, alignment 15/ 3, fail:	887.047	1520.19
Length  196/28, alignment 15/ 9, found:	1079.92	1520.19
Length  196/28, alignment 15/ 9, fail:	896.797	1520.17
Length  196/28, alignment 15/15, found:	888.672	1519.38
Length  196/28, alignment 15/15, fail:	896	1519.36
Length  224/28, alignment  0/ 0, found:	959.469	1575.53
Length  224/28, alignment  0/ 0, fail:	952.141	1582.84
Length  224/28, alignment  0/ 3, found:	961.922	1585.28
Length  224/28, alignment  0/ 3, fail:	960.297	1569.81
Length  224/28, alignment  0/ 9, found:	952.156	1579.58
Length  224/28, alignment  0/ 9, fail:	960.297	1578.78
Length  224/28, alignment  0/15, found:	960.281	1570.64
Length  224/28, alignment  0/15, fail:	951.328	1581.22
Length  224/28, alignment  3/ 0, found:	961.094	1578.77
Length  224/28, alignment  3/ 0, fail:	951.328	1571.45
Length  224/28, alignment  3/ 3, found:	951.344	1579.58
Length  224/28, alignment  3/ 3, fail:	960.297	1577.14
Length  224/28, alignment  3/ 9, found:	952.141	1572.27
Length  224/28, alignment  3/ 9, fail:	953.766	1577.95
Length  224/28, alignment  3/15, found:	959.469	1577.14
Length  224/28, alignment  3/15, fail:	961.094	1569.81
Length  224/28, alignment  9/ 0, found:	951.344	1590.16
Length  224/28, alignment  9/ 0, fail:	961.109	1578.78
Length  224/28, alignment  9/ 3, found:	960.281	1569.83
Length  224/28, alignment  9/ 3, fail:	950.531	1582.03
Length  224/28, alignment  9/ 9, found:	961.922	1584.47
Length  224/28, alignment  9/ 9, fail:	960.281	1574.7
Length  224/28, alignment  9/15, found:	952.156	1579.59
Length  224/28, alignment  9/15, fail:	960.281	1577.97
Length  224/28, alignment 15/ 0, found:	960.281	1569.83
Length  224/28, alignment 15/ 0, fail:	951.344	1579.59
Length  224/28, alignment 15/ 3, found:	959.469	1579.59
Length  224/28, alignment 15/ 3, fail:	959.469	1569.81
Length  224/28, alignment 15/ 9, found:	952.969	1577.97
Length  224/28, alignment 15/ 9, fail:	960.281	1582.03
Length  224/28, alignment 15/15, found:	960.297	1574.72
Length  224/28, alignment 15/15, fail:	951.344	1584.47
Length  252/28, alignment  0/ 0, found:	1023.77	1641.44
Length  252/28, alignment  0/ 0, fail:	1023.77	1641.44
Length  252/28, alignment  0/ 3, found:	1018.08	1641.44
Length  252/28, alignment  0/ 3, fail:	1016.44	1643.88
Length  252/28, alignment  0/ 9, found:	1026.2	1641.45
Length  252/28, alignment  0/ 9, fail:	1024.58	1639.81
Length  252/28, alignment  0/15, found:	1016.44	1647.14
Length  252/28, alignment  0/15, fail:	1022.94	1647.14
Length  252/28, alignment  3/ 0, found:	1024.58	1647.95
Length  252/28, alignment  3/ 0, fail:	1016.44	1639.81
Length  252/28, alignment  3/ 3, found:	1016.44	1647.94
Length  252/28, alignment  3/ 3, fail:	1023.77	1837.56
Length  252/28, alignment  3/ 9, found:	1026.22	1643.06
Length  252/28, alignment  3/ 9, fail:	1016.44	1634.11
Length  252/28, alignment  3/15, found:	1016.44	1640.62
Length  252/28, alignment  3/15, fail:	1025.39	1642.25
Length  252/28, alignment  9/ 0, found:	1026.2	1641.45
Length  252/28, alignment  9/ 0, fail:	1017.27	1634.92
Length  252/28, alignment  9/ 3, found:	1016.44	1647.95
Length  252/28, alignment  9/ 3, fail:	1024.58	1647.95
Length  252/28, alignment  9/ 9, found:	1024.58	1646.33
Length  252/28, alignment  9/ 9, fail:	1016.44	1647.94
Length  252/28, alignment  9/15, found:	1017.25	1649.58
Length  252/28, alignment  9/15, fail:	1024.58	1647.14
Length  252/28, alignment 15/ 0, found:	1025.39	1639
Length  252/28, alignment 15/ 0, fail:	1014.8	1643.88
Length  252/28, alignment 15/ 3, found:	1024.58	1646.31
Length  252/28, alignment 15/ 3, fail:	1025.39	1647.94
Length  252/28, alignment 15/ 9, found:	1015.62	1639.81
Length  252/28, alignment 15/ 9, fail:	1015.62	1647.12
Length  252/28, alignment 15/15, found:	1023.77	1647.95
Length  252/28, alignment 15/15, fail:	1024.58	1648.77
Length  280/28, alignment  0/ 0, found:	1080.72	1704.09
Length  280/28, alignment  0/ 0, fail:	1079.92	1711.42
Length  280/28, alignment  0/ 3, found:	1089.67	1712.23
Length  280/28, alignment  0/ 3, fail:	1088.05	1712.25
Length  280/28, alignment  0/ 9, found:	1090.5	1712.23
Length  280/28, alignment  0/ 9, fail:	1079.91	1704.11
Length  280/28, alignment  0/15, found:	1080.73	1711.42
Length  280/28, alignment  0/15, fail:	1089.67	1711.44
Length  280/28, alignment  3/ 0, found:	1088.88	1711.42
Length  280/28, alignment  3/ 0, fail:	1088.86	1711.42
Length  280/28, alignment  3/ 3, found:	1079.91	1704.92
Length  280/28, alignment  3/ 3, fail:	1079.91	1710.61
Length  280/28, alignment  3/ 9, found:	1089.69	1709.8
Length  280/28, alignment  3/ 9, fail:	1090.5	1712.23
Length  280/28, alignment  3/15, found:	1088.86	1711.44
Length  280/28, alignment  3/15, fail:	1079.91	1704.11
Length  280/28, alignment  9/ 0, found:	1079.91	1712.23
Length  280/28, alignment  9/ 0, fail:	1088.06	1712.25
Length  280/28, alignment  9/ 3, found:	1088.88	1711.42
Length  280/28, alignment  9/ 3, fail:	1086.42	1711.42
Length  280/28, alignment  9/ 9, found:	1080.73	1712.25
Length  280/28, alignment  9/ 9, fail:	1080.73	1710.61
Length  280/28, alignment  9/15, found:	1089.69	1712.23
Length  280/28, alignment  9/15, fail:	1089.69	1711.42
Length  280/28, alignment 15/ 0, found:	1088.86	1903.48
Length  280/28, alignment 15/ 0, fail:	1090.5	1719.56
Length  280/28, alignment 15/ 3, found:	1079.09	1703.3
Length  280/28, alignment 15/ 3, fail:	1080.73	1712.25
Length  280/28, alignment 15/ 9, found:	1088.06	1709.8
Length  280/28, alignment 15/ 9, fail:	1090.5	1711.42
Length  280/28, alignment 15/15, found:	1088.86	1713.88
Length  280/28, alignment 15/15, fail:	1080.73	1702.47
Length  308/28, alignment  0/ 0, found:	1145.02	1776.53
Length  308/28, alignment  0/ 0, fail:	1144.2	1775.72
Length  308/28, alignment  0/ 3, found:	1153.16	1774.91
Length  308/28, alignment  0/ 3, fail:	1153.16	1774.91
Length  308/28, alignment  0/ 9, found:	1153.16	1774.91
Length  308/28, alignment  0/ 9, fail:	1152.34	1774.89
Length  308/28, alignment  0/15, found:	1144.2	1767.58
Length  308/28, alignment  0/15, fail:	1145.02	1776.53
Length  308/28, alignment  3/ 0, found:	1144.2	1774.89
Length  308/28, alignment  3/ 0, fail:	1153.98	1774.91
Length  308/28, alignment  3/ 3, found:	1152.34	1776.53
Length  308/28, alignment  3/ 3, fail:	1152.34	1775.7
Length  308/28, alignment  3/ 9, found:	1153.97	1775.72
Length  308/28, alignment  3/ 9, fail:	1145.02	1768.39
Length  308/28, alignment  3/15, found:	1144.2	1775.72
Length  308/28, alignment  3/15, fail:	1144.2	1774.09
Length  308/28, alignment  9/ 0, found:	1154.78	1774.89
Length  308/28, alignment  9/ 0, fail:	1153.16	1775.7
Length  308/28, alignment  9/ 3, found:	1152.34	1774.91
Length  308/28, alignment  9/ 3, fail:	1153.16	1776.53
Length  308/28, alignment  9/ 9, found:	1145.02	1776.53
Length  308/28, alignment  9/ 9, fail:	1144.2	1770.83
Length  308/28, alignment  9/15, found:	1145.02	1770.02
Length  308/28, alignment  9/15, fail:	1151.53	1770.83
Length  308/28, alignment 15/ 0, found:	1151.53	1771.66
Length  308/28, alignment 15/ 0, fail:	1151.53	1770.84
Length  308/28, alignment 15/ 3, found:	1151.53	1770.02
Length  308/28, alignment 15/ 3, fail:	1150.72	1774.09
Length  308/28, alignment 15/ 9, found:	1144.22	1767.58
Length  308/28, alignment 15/ 9, fail:	1145.03	1774.91
Length  308/28, alignment 15/15, found:	1145.02	1776.52
Length  308/28, alignment 15/15, fail:	1152.34	1775.72
Length  336/28, alignment  0/ 0, found:	1216.62	1839.2
Length  336/28, alignment  0/ 0, fail:	1218.27	1840
Length  336/28, alignment  0/ 3, found:	1216.62	1929.52
Length  336/28, alignment  0/ 3, fail:	1217.44	2042.64
Length  336/28, alignment  0/ 9, found:	1209.31	1839.19
Length  336/28, alignment  0/ 9, fail:	1218.27	1840
Length  336/28, alignment  0/15, found:	1216.62	1840.81
Length  336/28, alignment  0/15, fail:	1216.64	1839.19
Length  336/28, alignment  3/ 0, found:	1216.62	1840.02
Length  336/28, alignment  3/ 0, fail:	1219.08	1841.62
Length  336/28, alignment  3/ 3, found:	1216.64	1839.19
Length  336/28, alignment  3/ 3, fail:	1217.45	1840
Length  336/28, alignment  3/ 9, found:	1216.62	1839.2
Length  336/28, alignment  3/ 9, fail:	1219.08	1840
Length  336/28, alignment  3/15, found:	1208.5	1840.02
Length  336/28, alignment  3/15, fail:	1209.31	1831.05
Length  336/28, alignment  9/ 0, found:	1210.12	1840.83
Length  336/28, alignment  9/ 0, fail:	1208.48	1842.44
Length  336/28, alignment  9/ 3, found:	1208.5	1840.81
Length  336/28, alignment  9/ 3, fail:	1209.31	1840
Length  336/28, alignment  9/ 9, found:	1216.64	1840
Length  336/28, alignment  9/ 9, fail:	1217.44	1841.62
Length  336/28, alignment  9/15, found:	1217.44	1836.77
Length  336/28, alignment  9/15, fail:	1217.45	1834.31
Length  336/28, alignment 15/ 0, found:	1216.62	1839.2
Length  336/28, alignment 15/ 0, fail:	1217.45	1840.81
Length  336/28, alignment 15/ 3, found:	1217.45	1840.81
Length  336/28, alignment 15/ 3, fail:	1216.64	1840.02
Length  336/28, alignment 15/ 9, found:	1216.64	1840.81
Length  336/28, alignment 15/ 9, fail:	1209.31	1841.62
Length  336/28, alignment 15/15, found:	1207.67	1840.83
Length  336/28, alignment 15/15, fail:	1209.31	1840.81
Length  364/28, alignment  0/ 0, found:	1273.61	1904.3
Length  364/28, alignment  0/ 0, fail:	1274.41	1897.78
Length  364/28, alignment  0/ 3, found:	1272.8	1905.11
Length  364/28, alignment  0/ 3, fail:	1272.78	1897.78
Length  364/28, alignment  0/ 9, found:	1271.98	1905.92
Length  364/28, alignment  0/ 9, fail:	1272.78	1904.3
Length  364/28, alignment  0/15, found:	1272.8	1904.3
Length  364/28, alignment  0/15, fail:	1271.98	1904.3
Length  364/28, alignment  3/ 0, found:	1273.61	1904.3
Length  364/28, alignment  3/ 0, fail:	1271.97	1904.3
Length  364/28, alignment  3/ 3, found:	1272.78	1905.11
Length  364/28, alignment  3/ 3, fail:	1272.8	1903.48
Length  364/28, alignment  3/ 9, found:	1272.8	2093.09
Length  364/28, alignment  3/ 9, fail:	1283.36	1906.73
Length  364/28, alignment  3/15, found:	1281.73	1904.3
Length  364/28, alignment  3/15, fail:	1281.73	1905.12
Length  364/28, alignment  9/ 0, found:	1281.73	1905.11
Length  364/28, alignment  9/ 0, fail:	1280.92	1905.92
Length  364/28, alignment  9/ 3, found:	1280.11	1905.94
Length  364/28, alignment  9/ 3, fail:	1280.92	1903.48
Length  364/28, alignment  9/ 9, found:	1280.92	1904.3
Length  364/28, alignment  9/ 9, fail:	1280.92	1905.11
Length  364/28, alignment  9/15, found:	1282.55	1902.67
Length  364/28, alignment  9/15, fail:	1280.92	1904.3
Length  364/28, alignment 15/ 0, found:	1280.92	1905.11
Length  364/28, alignment 15/ 0, fail:	1280.11	1905.11
Length  364/28, alignment 15/ 3, found:	1279.3	1904.3
Length  364/28, alignment 15/ 3, fail:	1281.73	1903.48
Length  364/28, alignment 15/ 9, found:	1281.73	1904.3
Length  364/28, alignment 15/ 9, fail:	1280.11	1906.73
Length  364/28, alignment 15/15, found:	1280.92	1904.3
Length  364/28, alignment 15/15, fail:	1280.92	1903.48
Length  392/28, alignment  0/ 0, found:	1345.22	1967.77
Length  392/28, alignment  0/ 0, fail:	1346.03	1971.03
Length  392/28, alignment  0/ 3, found:	1345.22	1968.58
Length  392/28, alignment  0/ 3, fail:	1345.22	1968.58
