                        	memset	builtin_memset	simple_memset
Length  416, alignment  0, c 130:	150.562	144.859	738.938
Length  416, alignment 32, c 130:	151.375	144.047	738.938
Length  448, alignment  0, c 130:	157.062	150.562	791.828
Length  448, alignment  0, c 130:	151.375	150.562	791.828
Length  480, alignment  0, c 130:	155.438	157.875	845.531
Length  480, alignment 32, c 130:	155.438	157.875	854.484
Length   14, alignment  1, c 130:	62.6562	64.2969	67.5469
Length 1024, alignment  3, c 130:	275.062	276.688	1761.06
Length   64, alignment  4, c 130:	69.9844	69.1719	152.188
Length   25, alignment  2, c 130:	57.7812	61.0469	86.2656
Length 1056, alignment  0, c 195:	275.891	287.266	1816.41
Length 1056, alignment 33, c 195:	282.391	284.016	1805.83
Length 1184, alignment  0, c 195:	302.734	304.375	2028
Length 1184, alignment 37, c 195:	308.438	309.234	2026.38
Length 1312, alignment  0, c 195:	337.734	332.031	2242.02
Length 1312, alignment 41, c 195:	336.906	337.734	2240.39
Length 1440, alignment  0, c 195:	357.266	357.25	2453.62
Length 1440, alignment 45, c 195:	362.953	363.766	2461.75
Length 1568, alignment  0, c 195:	383.312	384.109	2668.45
Length 1568, alignment 49, c 195:	389	389.812	2666.83
Length 1696, alignment  0, c 195:	410.156	616.062	2889
Length 1696, alignment 53, c 195:	415.844	416.672	2893.06
Length 1824, alignment  0, c 195:	437.016	437.016	3100.59
Length 1824, alignment 57, c 195:	451.656	443.516	3100.59
Length 1952, alignment  0, c 195:	463.062	472	3307.28
Length 1952, alignment 61, c 195:	469.562	470.391	3313.81
Length 2080, alignment  0, c 195:	497.234	491.531	3526.2
Length 2080, alignment  1, c 195:	502.938	495.609	3529.47
Length 2208, alignment  0, c 195:	524.078	517.578	3740.23
Length 2208, alignment  5, c 195:	530.594	522.469	3740.23
Length 2336, alignment  0, c 195:	550.125	544.438	3955.08
Length 2336, alignment  9, c 195:	548.5	550.141	3960.78
Length 2464, alignment  0, c 195:	569.672	579.438	4169.92
Length 2464, alignment 13, c 195:	575.359	576.172	4169.11
Length 2592, alignment  0, c 195:	605.469	598.141	4387.2
Length 2592, alignment 17, c 195:	603.031	612.797	4380.69
Length 2720, alignment  0, c 195:	629.891	623.375	4601.23
