                    	wcschrnul	simple_WCSCHRNUL	stupid_WCSCHRNUL
Length   64, alignment in bytes 28:	210.781	205.891	553.375
Length   64, alignment in bytes 28:	209.953	205.078	551.75
Length    0, alignment in bytes  0:	38.25	32.5469	59.4219
Length    0, alignment in bytes  0:	39.0625	33.375	57.7812
Length    1, alignment in bytes  0:	40.6875	35.8125	65.1094
Length    1, alignment in bytes  0:	41.5156	35.7969	65.1094
Length    2, alignment in bytes  0:	44.7656	39.875	71.6094
Length    2, alignment in bytes  0:	44.7656	39.0625	70.7969
Length    3, alignment in bytes  0:	45.5625	44.7656	78.125
Length    3, alignment in bytes  0:	45.5781	39.875	77.3125
Length    4, alignment in bytes  0:	48.0156	43.1406	91.9688
Length    4, alignment in bytes  0:	48.0156	43.9375	91.1562
Length    5, alignment in bytes  0:	49.6406	48.8281	103.359
Length    5, alignment in bytes  0:	49.6406	45.5781	101.719
Length    6, alignment in bytes  0:	52.9062	49.6406	111.484
Length    6, alignment in bytes  0:	52.0781	48.0156	110.672
Length    7, alignment in bytes  0:	55.3438	52.9062	114.75
Length    7, alignment in bytes  0:	53.7188	50.4531	114.75
Length    8, alignment in bytes  0:	56.9688	54.5312	122.875
Length    8, alignment in bytes  0:	56.9688	53.7188	121.266
Length    9, alignment in bytes  0:	60.2344	55.3438	133.469
Length    9, alignment in bytes  0:	59.4062	55.3438	132.641
Length   10, alignment in bytes  0:	74.875	69.9844	148.109
Length   10, alignment in bytes  0:	74.8594	69.9844	150.547
Length   11, alignment in bytes  0:	77.3125	72.4375	146.484
Length   11, alignment in bytes  0:	78.125	72.4219	145.672
Length   12, alignment in bytes  0:	80.5625	74.8594	160.312
Length   12, alignment in bytes  0:	80.5625	75.6875	159.516
Length   13, alignment in bytes  0:	83	77.3125	170.078
Length   13, alignment in bytes  0:	82.2031	78.125	171.703
Length   14, alignment in bytes  0:	84.625	78.9375	181.469
Length   14, alignment in bytes  0:	86.2656	79.75	180.672
Length   15, alignment in bytes  0:	87.8906	83	185.547
Length   15, alignment in bytes  0:	87.0781	83	183.094
Length   16, alignment in bytes  0:	90.3281	85.4531	192.875
Length   16, alignment in bytes  0:	89.5156	85.4375	194.5
Length   17, alignment in bytes  0:	93.5938	87.0781	205.078
Length   17, alignment in bytes  0:	92.7656	87.0781	205.078
Length   18, alignment in bytes  0:	96.8281	89.5156	209.141
Length   18, alignment in bytes  0:	96.8281	91.1406	209.156
Length   19, alignment in bytes  0:	97.6562	93.5938	214.844
Length   19, alignment in bytes  0:	98.4688	92.7812	214.844
Length   20, alignment in bytes  0:	100.922	96.0312	223.797
Length   20, alignment in bytes  0:	100.906	96.0156	222.984
Length   21, alignment in bytes  0:	103.359	97.6562	231.922
Length   21, alignment in bytes  0:	102.531	98.4688	230.312
Length   22, alignment in bytes  0:	105.797	102.531	240.891
Length   22, alignment in bytes  0:	105.797	100.922	238.438
Length   23, alignment in bytes  0:	108.234	102.531	244.953
Length   23, alignment in bytes  0:	109.047	104.156	244.141
Length   24, alignment in bytes  0:	110.672	105.797	253.094
Length   24, alignment in bytes  0:	110.672	105.797	253.078
Length   25, alignment in bytes  0:	113.125	107.422	261.234
Length   25, alignment in bytes  0:	113.125	108.234	261.234
Length   26, alignment in bytes  0:	114.75	110.688	270.188
Length   26, alignment in bytes  0:	115.562	110.672	269.375
Length   27, alignment in bytes  0:	118	112.297	273.438
Length   27, alignment in bytes  0:	118.812	112.312	274.25
Length   28, alignment in bytes  0:	120.438	114.734	284.844
Length   28, alignment in bytes  0:	119.625	115.562	284.016
Length   29, alignment in bytes  0:	122.891	118.812	292.156
Length   29, alignment in bytes  0:	122.875	118	291.328
Length   30, alignment in bytes  0:	125.328	118.812	299.469
Length   30, alignment in bytes  0:	126.141	120.453	299.484
Length   31, alignment in bytes  0:	127.766	123.703	305.188
Length   31, alignment in bytes  0:	127.766	122.891	302.734
