                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length   16, alignment  1/ 1:	165.203	108.234	107.422
Length   32, alignment  2/ 4:	160.328	131.828	160.312
Length   32, alignment  4/ 2:	170.906	124.516	161.938
Length   32, alignment  2/ 2:	185.547	121.25	161.938
Length   32, alignment  2/ 2:	183.922	121.266	161.938
Length   64, alignment  3/ 6:	227.047	175.781	267.734
Length   64, alignment  6/ 3:	189.625	166.016	267.75
Length   64, alignment  3/ 3:	193.688	156.25	267.734
Length   64, alignment  3/ 3:	200.188	156.25	267.734
Length  128, alignment  4/ 0:	236.016	200.188	480.969
Length  128, alignment  0/ 4:	244.953	209.953	481.781
Length  128, alignment  4/ 4:	240.078	200.203	480.953
Length  128, alignment  4/ 4:	238.453	201.016	480.953
Length  256, alignment  5/ 2:	419.922	366.203	908.203
Length  256, alignment  2/ 5:	434.562	375.156	908.203
Length  256, alignment  5/ 5:	373.531	307.625	908.203
Length  256, alignment  5/ 5:	370.281	308.422	908.203
Length  512, alignment  6/ 4:	658.375	632.328	1761.08
Length  512, alignment  4/ 6:	680.344	631.516	1761.89
Length  512, alignment  6/ 6:	576.172	521.641	1761.06
Length  512, alignment  6/ 6:	575.359	520.828	1761.08
Length 1024, alignment  7/ 6:	1227.2	1166.19	3467.61
Length 1024, alignment  6/ 7:	1162.92	1165.36	3468.44
Length 1024, alignment  7/ 7:	944.016	946.453	3651.53
Length 1024, alignment  7/ 7:	943.203	946.453	3468.42
