                            	strncat	stupid_strncat
Length  512/ 512, alignment  2/ 4, N  128:	699.859	3160.81
Length  512/ 128, alignment  0/ 0, N  128:	451.656	1233.72
Length  512/ 128, alignment  2/ 4, N  128:	489.094	1241.05
Length 1024/1024, alignment  0/ 0, N  128:	928.547	5734.05
Length 1024/1024, alignment  1/ 6, N  128:	968.422	5735.67
Length 1024/ 256, alignment  0/ 0, N  128:	518.391	1881.52
Length 1024/ 256, alignment  1/ 6, N  128:	565.594	1880.69
Length   16/   1, alignment  1/ 2, N  128:	155.422	122.891
Length   16/   1, alignment  2/ 1, N  128:	180.672	130.203
Length   16/  10, alignment  1/ 1, N  128:	189.609	177.406
Length   32/   1, alignment  2/ 4, N  128:	201	188.797
Length   32/   1, alignment  4/ 2, N  128:	263.672	188.797
Length   32/  10, alignment  2/ 2, N  128:	220.531	244.141
Length   64/   1, alignment  3/ 6, N  128:	263.672	322.266
Length   64/   1, alignment  6/ 3, N  128:	402.031	323.078
Length   64/  10, alignment  3/ 3, N  128:	308.438	377.609
Length  128/   1, alignment  4/ 0, N  128:	391.438	588.375
Length  128/   1, alignment  0/ 4, N  128:	692.547	597.328
Length  128/  10, alignment  4/ 4, N  128:	433.75	642.906
Length  256/   1, alignment  5/ 2, N  128:	395.5	588.375
Length  256/   1, alignment  2/ 5, N  128:	708.812	588.375
Length  256/  10, alignment  5/ 5, N  128:	437.016	642.906
Length  512/   1, alignment  6/ 4, N  128:	394.703	596.516
Length  512/   1, alignment  4/ 6, N  128:	687.656	595.703
Length  512/  10, alignment  6/ 6, N  128:	402.844	643.719
Length 1024/   1, alignment  7/ 6, N  128:	373.531	588.391
Length 1024/   1, alignment  6/ 7, N  128:	678.703	598.141
Length 1024/  10, alignment  7/ 7, N  128:	419.922	651.047
Length    2/   2, alignment  0/ 2, N  512:	95.2188	60.2344
Length    4/   4, alignment  0/ 0, N  512:	131.016	85.4531
Length    4/   4, alignment  4/ 0, N  512:	130.219	84.6406
Length    8/   8, alignment  0/ 0, N  512:	148.938	134.281
Length    8/   8, alignment  0/ 0, N  512:	147.297	134.281
Length   16/  16, alignment  0/ 0, N  512:	199.391	208.344
Length   16/  16, alignment  7/ 2, N  512:	203.453	207.516
Length   16/   4, alignment  0/ 0, N  512:	168.453	136.719
Length   16/   4, alignment  7/ 2, N  512:	157.875	137.531
Length   32/  32, alignment  0/ 0, N  512:	225.422	354.828
Length   32/  32, alignment  6/ 4, N  512:	245.781	354.812
Length   32/   8, alignment  0/ 0, N  512:	186.359	234.375
Length   32/   8, alignment  6/ 4, N  512:	201.828	235.188
Length   64/  64, alignment  0/ 0, N  512:	301.922	647.781
Length   64/  64, alignment  5/ 6, N  512:	331.219	655.922
Length   64/  16, alignment  0/ 0, N  512:	273.438	406.891
Length   64/  16, alignment  5/ 6, N  512:	304.359	415.859
Length  128/ 128, alignment  0/ 0, N  512:	458.984	1243.48
Length  128/ 128, alignment  4/ 0, N  512:	461.422	1241.86
Length  128/  32, alignment  0/ 0, N  512:	397.141	762.531
Length  128/  32, alignment  4/ 0, N  512:	399.578	755.219
Length  256/ 256, alignment  0/ 0, N  512:	747.875	2414.55
Length  256/ 256, alignment  3/ 2, N  512:	850.422	2416.19
Length  256/  64, alignment  0/ 0, N  512:	651.859	1457.52
Length  256/  64, alignment  3/ 2, N  512:	730.797	1455.08
Length  512/ 512, alignment  0/ 0, N  512:	1330.56	4774.56
Length  512/ 512, alignment  2/ 4, N  512:	1486	4769.7
Length  512/ 128, alignment  0/ 0, N  512:	1121.42	2847.5
Length  512/ 128, alignment  2/ 4, N  512:	1293.95	2840.98
Length 1024/1024, alignment  0/ 0, N  512:	1595.88	7342.94
