                       	strstr	simple_strstr	stupid_strstr
Length   16/2, alignment  3/ 0, found:	258.797	262.859	260.422
Length   16/2, alignment  3/ 0, fail:	130.203	128.578	262.859
Length   16/2, alignment  3/ 3, found:	247.391	283.203	267.75
Length   16/2, alignment  3/ 3, fail:	130.219	129.406	266.109
Length   16/2, alignment  3/ 9, found:	248.203	262.047	262.859
Length   16/2, alignment  3/ 9, fail:	130.203	128.578	262.047
Length   16/2, alignment  3/15, found:	249.828	285.641	260.422
Length   16/2, alignment  3/15, fail:	130.203	128.578	261.234
Length   16/2, alignment  9/ 0, found:	250.656	265.297	266.109
Length   16/2, alignment  9/ 0, fail:	143.234	133.469	268.562
Length   16/2, alignment  9/ 3, found:	249.844	297.859	266.125
Length   16/2, alignment  9/ 3, fail:	135.078	133.469	275.891
Length   16/2, alignment  9/ 9, found:	253.094	266.125	260.406
Length   16/2, alignment  9/ 9, fail:	134.281	132.656	271
Length   16/2, alignment  9/15, found:	259.609	289.703	262.031
Length   16/2, alignment  9/15, fail:	134.281	133.469	269.375
Length   16/2, alignment 15/ 0, found:	241.703	256.344	239.25
Length   16/2, alignment 15/ 0, fail:	132.641	129.391	244.953
Length   16/2, alignment 15/ 3, found:	240.891	277.5	239.25
Length   16/2, alignment 15/ 3, fail:	151.359	128.594	244.953
Length   16/2, alignment 15/ 9, found:	239.25	264.484	238.438
Length   16/2, alignment 15/ 9, fail:	133.453	129.391	246.594
Length   16/2, alignment 15/15, found:	237.625	277.5	237.625
Length   16/2, alignment 15/15, fail:	132.641	129.391	248.219
Length   18/2, alignment  0/ 0, found:	256.359	279.953	284.016
Length   18/2, alignment  0/ 0, fail:	249.031	263.672	297.031
Length   18/2, alignment  0/ 3, found:	255.547	292.969	290.531
Length   18/2, alignment  0/ 3, fail:	247.391	284.844	301.922
Length   18/2, alignment  0/ 9, found:	255.531	270.172	282.391
Length   18/2, alignment  0/ 9, fail:	248.203	264.5	298.672
Length   18/2, alignment  0/15, found:	265.297	292.969	283.203
Length   18/2, alignment  0/15, fail:	247.391	285.641	297.844
Length   18/2, alignment  3/ 0, found:	260.422	282.391	278.328
Length   18/2, alignment  3/ 0, fail:	253.094	267.734	291.344
Length   18/2, alignment  3/ 3, found:	260.422	296.219	283.203
Length   18/2, alignment  3/ 3, fail:	253.906	288.078	292.969
Length   18/2, alignment  3/ 9, found:	259.609	274.25	273.438
Length   18/2, alignment  3/ 9, fail:	253.094	267.75	288.078
Length   18/2, alignment  3/15, found:	267.75	297.031	277.516
Length   18/2, alignment  3/15, fail:	253.906	289.703	293.781
Length   18/2, alignment  9/ 0, found:	253.906	276.688	278.328
Length   18/2, alignment  9/ 0, fail:	244.141	262.047	295.406
Length   18/2, alignment  9/ 3, found:	253.094	289.703	288.906
Length   18/2, alignment  9/ 3, fail:	244.953	281.578	293.781
Length   18/2, alignment  9/ 9, found:	253.094	267.734	280.75
Length   18/2, alignment  9/ 9, fail:	244.141	261.219	295.406
Length   18/2, alignment  9/15, found:	262.047	290.531	282.375
Length   18/2, alignment  9/15, fail:	245.766	291.344	295.422
Length   18/2, alignment 15/ 0, found:	256.344	282.391	261.219
Length   18/2, alignment 15/ 0, fail:	251.469	264.484	279.141
Length   18/2, alignment 15/ 3, found:	256.344	292.969	260.422
Length   18/2, alignment 15/ 3, fail:	250.656	285.641	272.625
Length   18/2, alignment 15/ 9, found:	257.172	271.812	258.797
Length   18/2, alignment 15/ 9, fail:	259.609	264.484	272.625
Length   18/2, alignment 15/15, found:	254.719	294.609	259.594
Length   18/2, alignment 15/15, fail:	249.844	295.406	273.438
Length   20/2, alignment  0/ 0, found:	256.344	271	298.656
Length   20/2, alignment  0/ 0, fail:	265.297	275.062	349.938
Length   20/2, alignment  0/ 3, found:	254.719	292.156	301.109
Length   20/2, alignment  0/ 3, fail:	264.484	301.094	340.172
Length   20/2, alignment  0/ 9, found:	255.547	269.359	299.484
Length   20/2, alignment  0/ 9, fail:	274.25	272.609	329.594
Length   20/2, alignment  0/15, found:	264.484	295.406	301.922
Length   20/2, alignment  0/15, fail:	266.922	302.734	340.984
Length   20/2, alignment  3/ 0, found:	248.203	270.172	291.344
Length   20/2, alignment  3/ 0, fail:	263.672	284.016	333.656
Length   20/2, alignment  3/ 3, found:	249.031	284.016	304.359
Length   20/2, alignment  3/ 3, fail:	262.047	306	340.156
Length   20/2, alignment  3/ 9, found:	246.578	263.672	294.594
Length   20/2, alignment  3/ 9, fail:	262.859	283.203	328.781
Length   20/2, alignment  3/15, found:	247.391	285.656	294.594
Length   20/2, alignment  3/15, fail:	271.812	308.438	314.125
Length   20/2, alignment  9/ 0, found:	263.672	279.141	297.859
Length   20/2, alignment  9/ 0, fail:	262.047	279.953	333.656
Length   20/2, alignment  9/ 3, found:	265.297	308.422	295.406
Length   20/2, alignment  9/ 3, fail:	262.047	297.844	326.328
Length   20/2, alignment  9/ 9, found:	265.297	281.562	305.172
Length   20/2, alignment  9/ 9, fail:	262.859	270.188	337.719
Length   20/2, alignment  9/15, found:	266.109	302.734	299.484
Length   20/2, alignment  9/15, fail:	262.859	301.094	339.344
Length   20/2, alignment 15/ 0, found:	257.156	272.625	276.703
Length   20/2, alignment 15/ 0, fail:	269.375	281.578	297.859
Length   20/2, alignment 15/ 3, found:	257.969	294.594	275.875
Length   20/2, alignment 15/ 3, fail:	260.406	310.859	298.656
Length   20/2, alignment 15/ 9, found:	258.797	272.625	276.688
Length   20/2, alignment 15/ 9, fail:	259.609	281.578	308.438
Length   20/2, alignment 15/15, found:	257.984	296.234	276.688
Length   20/2, alignment 15/15, fail:	260.422	304.359	300.281
Length   22/2, alignment  0/ 0, found:	253.906	270.188	320.641
Length   22/2, alignment  0/ 0, fail:	281.578	288.094	339.359
Length   22/2, alignment  0/ 3, found:	263.672	290.531	318.203
Length   22/2, alignment  0/ 3, fail:	274.266	311.688	339.359
Length   22/2, alignment  0/ 9, found:	257.156	288.906	320.641
Length   22/2, alignment  0/ 9, fail:	275.875	289.719	341.797
Length   22/2, alignment  0/15, found:	257.172	294.594	318.203
Length   22/2, alignment  0/15, fail:	275.062	313.312	355.625
Length   22/2, alignment  3/ 0, found:	261.234	275.078	314.125
Length   22/2, alignment  3/ 0, fail:	278.328	293.781	332.844
Length   22/2, alignment  3/ 3, found:	259.594	297.047	315.75
Length   22/2, alignment  3/ 3, fail:	279.125	314.938	338.547
Length   22/2, alignment  3/ 9, found:	268.562	275.062	314.953
Length   22/2, alignment  3/ 9, fail:	287.266	293.781	343.422
Length   22/2, alignment  3/15, found:	259.609	296.219	312.5
Length   22/2, alignment  3/15, fail:	279.125	325.516	336.094
Length   22/2, alignment  9/ 0, found:	253.094	269.359	315.75
Length   22/2, alignment  9/ 0, fail:	272.625	286.453	354.812
Length   22/2, alignment  9/ 3, found:	253.094	290.531	324.703
Length   22/2, alignment  9/ 3, fail:	476.078	310.875	353.188
Length   22/2, alignment  9/ 9, found:	253.906	267.75	324.703
Length   22/2, alignment  9/ 9, fail:	273.438	286.469	344.25
Length   22/2, alignment  9/15, found:	260.422	292.969	315.75
Length   22/2, alignment  9/15, fail:	271	310.047	344.25
Length   22/2, alignment 15/ 0, found:	275.891	286.453	293.781
Length   22/2, alignment 15/ 0, fail:	284.016	291.344	313.328
Length   22/2, alignment 15/ 3, found:	269.375	305.172	293.781
Length   22/2, alignment 15/ 3, fail:	276.703	321.453	312.5
Length   22/2, alignment 15/ 9, found:	268.547	285.641	292.156
Length   22/2, alignment 15/ 9, fail:	274.25	288.906	319.828
Length   22/2, alignment 15/15, found:	272.625	308.438	300.297
Length   22/2, alignment 15/15, fail:	275.875	313.312	311.688
Length   24/2, alignment  0/ 0, found:	257.156	268.547	340.984
Length   24/2, alignment  0/ 0, fail:	286.469	300.281	354.828
Length   24/2, alignment  0/ 3, found:	255.531	292.156	337.719
Length   24/2, alignment  0/ 3, fail:	292.156	319.812	362.141
Length   24/2, alignment  0/ 9, found:	254.719	270.984	336.906
Length   24/2, alignment  0/ 9, fail:	284.828	300.297	360.516
Length   24/2, alignment  0/15, found:	255.531	301.094	339.344
Length   24/2, alignment  0/15, fail:	284.016	330.406	360.516
Length   24/2, alignment  3/ 0, found:	258.797	281.578	332.031
Length   24/2, alignment  3/ 0, fail:	291.344	303.547	360.5
Length   24/2, alignment  3/ 3, found:	257.172	292.969	341.797
Length   24/2, alignment  3/ 3, fail:	288.906	323.078	364.578
Length   24/2, alignment  3/ 9, found:	255.531	270.172	332.844
Length   24/2, alignment  3/ 9, fail:	289.703	303.547	361.328
Length   24/2, alignment  3/15, found:	256.359	292.969	333.672
Length   24/2, alignment  3/15, fail:	289.719	327.141	356.438
Length   24/2, alignment  9/ 0, found:	266.109	279.953	332.844
Length   24/2, alignment  9/ 0, fail:	292.969	296.219	361.328
Length   24/2, alignment  9/ 3, found:	272.625	301.109	335.281
Length   24/2, alignment  9/ 3, fail:	281.578	316.578	367.031
Length   24/2, alignment  9/ 9, found:	264.484	288.094	332.844
Length   24/2, alignment  9/ 9, fail:	284.016	305.188	358.891
Length   24/2, alignment  9/15, found:	265.297	302.734	331.219
Length   24/2, alignment  9/15, fail:	283.203	319.016	367.031
Length   24/2, alignment 15/ 0, found:	257.984	273.438	318.203
Length   24/2, alignment 15/ 0, fail:	286.453	300.281	329.594
Length   24/2, alignment 15/ 3, found:	257.969	294.594	309.25
Length   24/2, alignment 15/ 3, fail:	285.641	321.453	330.391
Length   24/2, alignment 15/ 9, found:	257.984	271	309.25
Length   24/2, alignment 15/ 9, fail:	294.594	300.297	331.219
Length   24/2, alignment 15/15, found:	257.969	294.594	310.062
Length   24/2, alignment 15/15, fail:	285.656	331.203	328.766
Length   26/2, alignment  0/ 0, found:	262.859	286.453	354.828
Length   26/2, alignment  0/ 0, fail:	296.219	316.562	371.094
Length   26/2, alignment  0/ 3, found:	263.672	299.469	354.828
Length   26/2, alignment  0/ 3, fail:	294.594	329.594	386.562
Length   26/2, alignment  0/ 9, found:	263.672	277.5	366.219
Length   26/2, alignment  0/ 9, fail:	295.406	307.609	391.438
Length   26/2, alignment  0/15, found:	265.312	301.922	366.203
Length   26/2, alignment  0/15, fail:	295.422	331.219	386.562
Length   26/2, alignment  3/ 0, found:	267.75	279.953	348.312
Length   26/2, alignment  3/ 0, fail:	299.484	313.312	362.953
Length   26/2, alignment  3/ 3, found:	268.562	303.547	346.688
Length   26/2, alignment  3/ 3, fail:	300.297	334.484	374.344
Length   26/2, alignment  3/ 9, found:	276.688	281.578	348.297
Length   26/2, alignment  3/ 9, fail:	310.047	313.312	374.344
Length   26/2, alignment  3/15, found:	269.359	305.172	348.312
Length   26/2, alignment  3/15, fail:	298.672	336.094	367.828
Length   26/2, alignment  9/ 0, found:	260.422	282.375	352.375
Length   26/2, alignment  9/ 0, fail:	292.156	314.125	375.172
Length   26/2, alignment  9/ 3, found:	260.422	305.984	352.375
Length   26/2, alignment  9/ 3, fail:	291.344	327.141	377.594
Length   26/2, alignment  9/ 9, found:	260.406	276.688	363.766
Length   26/2, alignment  9/ 9, fail:	292.969	306	384.922
Length   26/2, alignment  9/15, found:	262.047	298.656	362.141
Length   26/2, alignment  9/15, fail:	292.969	329.594	388.984
Length   26/2, alignment 15/ 0, found:	270.188	284.016	332.031
Length   26/2, alignment 15/ 0, fail:	296.219	311.688	351.562
Length   26/2, alignment 15/ 3, found:	271	306	330.406
Length   26/2, alignment 15/ 3, fail:	297.047	332.031	352.375
Length   26/2, alignment 15/ 9, found:	279.141	285.641	331.219
Length   26/2, alignment 15/ 9, fail:	305.172	310.062	356.453
Length   26/2, alignment 15/15, found:	269.359	306.797	331.219
Length   26/2, alignment 15/15, fail:	297.031	340.984	354.016
Length   28/2, alignment  0/ 0, found:	263.672	288.078	373.531
Length   28/2, alignment  0/ 0, fail:	304.359	327.141	403.641
Length   28/2, alignment  0/ 3, found:	263.672	300.281	373.531
Length   28/2, alignment  0/ 3, fail:	304.359	340.984	402.828
Length   28/2, alignment  0/ 9, found:	262.859	277.5	373.531
Length   28/2, alignment  0/ 9, fail:	305.984	318.203	411.781
Length   28/2, alignment  0/15, found:	263.672	301.906	380.859
Length   28/2, alignment  0/15, fail:	304.375	342.609	409.344
Length   28/2, alignment  3/ 0, found:	255.531	271.812	373.547
Length   28/2, alignment  3/ 0, fail:	308.438	327.156	389.812
Length   28/2, alignment  3/ 3, found:	257.984	292.141	365.406
Length   28/2, alignment  3/ 3, fail:	310.062	345.047	390.625
Length   28/2, alignment  3/ 9, found:	255.531	271.812	375.984
Length   28/2, alignment  3/ 9, fail:	310.062	323.891	405.281
Length   28/2, alignment  3/15, found:	255.531	293.781	373.531
Length   28/2, alignment  3/15, fail:	310.062	348.312	399.562
Length   28/2, alignment  9/ 0, found:	272.625	287.266	369.469
Length   28/2, alignment  9/ 0, fail:	302.734	315.75	399.578
Length   28/2, alignment  9/ 3, found:	271.812	309.25	369.469
Length   28/2, alignment  9/ 3, fail:	301.922	339.344	399.578
