                       	oldstrsep	strsep	simple_strsep
Length   18/3, alignment  3/ 3, found:	331.219	321.453	207.516
Length   18/3, alignment  3/ 3, fail:	351.562	340.172	330.406
Length   18/3, alignment  3/ 9, found:	330.406	319.828	207.516
Length   18/3, alignment  3/ 9, fail:	351.562	340.984	331.219
Length   18/3, alignment  3/15, found:	330.406	321.453	207.531
Length   18/3, alignment  3/15, fail:	351.562	341.797	332.031
Length   18/3, alignment  9/ 0, found:	321.453	311.688	207.531
Length   18/3, alignment  9/ 0, fail:	342.609	331.219	332.031
Length   18/3, alignment  9/ 3, found:	322.266	311.688	207.516
Length   18/3, alignment  9/ 3, fail:	341.797	331.219	331.219
Length   18/3, alignment  9/ 9, found:	321.438	310.047	208.344
Length   18/3, alignment  9/ 9, fail:	341.797	332.031	331.219
Length   18/3, alignment  9/15, found:	320.641	310.875	208.328
Length   18/3, alignment  9/15, fail:	341.797	332.031	331.219
Length   18/3, alignment 15/ 0, found:	329.594	320.641	208.344
Length   18/3, alignment 15/ 0, fail:	350.734	340.984	330.406
Length   18/3, alignment 15/ 3, found:	329.594	320.641	208.344
Length   18/3, alignment 15/ 3, fail:	349.938	339.359	332.844
Length   18/3, alignment 15/ 9, found:	330.406	321.453	207.516
Length   18/3, alignment 15/ 9, fail:	350.75	340.172	332.844
Length   18/3, alignment 15/15, found:	331.203	320.641	207.516
Length   18/3, alignment 15/15, fail:	350.75	340.172	331.203
Length   21/3, alignment  0/ 0, found:	320.641	312.5	220.531
Length   21/3, alignment  0/ 0, fail:	350.75	340.984	374.359
Length   21/3, alignment  0/ 3, found:	321.453	311.672	222.984
Length   21/3, alignment  0/ 3, fail:	351.562	340.172	373.531
Length   21/3, alignment  0/ 9, found:	322.266	311.688	222.172
Length   21/3, alignment  0/ 9, fail:	350.75	340.984	547.688
Length   21/3, alignment  0/15, found:	322.266	312.5	222.172
Length   21/3, alignment  0/15, fail:	350.75	340.172	374.344
Length   21/3, alignment  3/ 0, found:	330.391	321.453	222.172
Length   21/3, alignment  3/ 0, fail:	362.141	350.75	373.531
Length   21/3, alignment  3/ 3, found:	330.406	320.641	222.172
Length   21/3, alignment  3/ 3, fail:	359.703	349.938	374.359
Length   21/3, alignment  3/ 9, found:	330.391	321.453	222.984
Length   21/3, alignment  3/ 9, fail:	360.516	349.938	374.344
Length   21/3, alignment  3/15, found:	330.406	320.641	222.156
Length   21/3, alignment  3/15, fail:	360.516	348.312	374.344
