                       	oldstrsep	strsep	simple_strsep
Length  150/25, alignment  9/ 0, fail:	755.203	738.938	14828.3
Length  150/25, alignment  9/ 3, found:	588.391	574.547	7473.14
Length  150/25, alignment  9/ 3, fail:	753.578	740.562	14821
Length  150/25, alignment  9/ 9, found:	588.375	575.359	7478.03
Length  150/25, alignment  9/ 9, fail:	751.953	739.75	14825
Length  150/25, alignment  9/15, found:	587.562	576.984	7460.94
Length  150/25, alignment  9/15, fail:	753.578	740.562	14807.9
Length  150/25, alignment 15/ 0, found:	586.75	576.172	7479.66
Length  150/25, alignment 15/ 0, fail:	761.719	749.5	14829.1
Length  150/25, alignment 15/ 3, found:	588.375	576.984	7472.33
Length  150/25, alignment 15/ 3, fail:	761.719	749.5	14822.6
Length  150/25, alignment 15/ 9, found:	590.016	574.547	7478.84
Length  150/25, alignment 15/ 9, fail:	761.719	749.5	14825
Length  150/25, alignment 15/15, found:	586.75	576.172	7460.94
Length  150/25, alignment 15/15, fail:	762.531	749.516	14808
Length  175/25, alignment  0/ 0, found:	605.469	594.078	8648.27
Length  175/25, alignment  0/ 0, fail:	807.281	795.906	17268.9
Length  175/25, alignment  0/ 3, found:	607.109	594.062	8640.14
Length  175/25, alignment  0/ 3, fail:	806.484	795.078	17261.6
Length  175/25, alignment  0/ 9, found:	606.281	593.25	8645.83
Length  175/25, alignment  0/ 9, fail:	809.734	795.891	17438.1
Length  175/25, alignment  0/15, found:	607.109	595.703	8636.06
Length  175/25, alignment  0/15, fail:	807.281	796.703	17260.7
Length  175/25, alignment  3/ 0, found:	615.234	602.219	8649.08
Length  175/25, alignment  3/ 0, fail:	816.25	804.047	17268.1
Length  175/25, alignment  3/ 3, found:	613.609	603.844	8640.95
Length  175/25, alignment  3/ 3, fail:	817.047	804.031	17263.2
Length  175/25, alignment  3/ 9, found:	615.234	602.203	8643.39
Length  175/25, alignment  3/ 9, fail:	817.062	804.047	17268.1
Length  175/25, alignment  3/15, found:	614.422	603.031	8637.69
Length  175/25, alignment  3/15, fail:	817.047	804.844	17390.1
Length  175/25, alignment  9/ 0, found:	616.859	603.844	8648.27
Length  175/25, alignment  9/ 0, fail:	817.875	804.844	17268.9
Length  175/25, alignment  9/ 3, found:	615.234	604.656	8640.12
Length  175/25, alignment  9/ 3, fail:	817.859	804.844	17262.4
Length  175/25, alignment  9/ 9, found:	614.422	603.844	8643.39
Length  175/25, alignment  9/ 9, fail:	817.062	804.844	17266.4
Length  175/25, alignment  9/15, found:	614.422	603.016	8637.69
Length  175/25, alignment  9/15, fail:	817.047	804.859	17258.3
Length  175/25, alignment 15/ 0, found:	616.859	603.844	8649.89
Length  175/25, alignment 15/ 0, fail:	817.875	804.031	17268.1
Length  175/25, alignment 15/ 3, found:	616.047	604.656	8828.12
Length  175/25, alignment 15/ 3, fail:	817.875	804.859	17262.4
Length  175/25, alignment 15/ 9, found:	616.047	604.656	8645.83
Length  175/25, alignment 15/ 9, fail:	817.875	804.844	17264.8
Length  175/25, alignment 15/15, found:	615.234	603.031	8638.5
Length  175/25, alignment 15/15, fail:	817.875	804.031	17257.5
Length  104/26, alignment  0/ 0, found:	537.109	524.906	5399.58
Length  104/26, alignment  0/ 0, fail:	656.734	643.719	10665.7
Length  104/26, alignment  0/ 3, found:	536.297	524.906	5392.27
Length  104/26, alignment  0/ 3, fail:	655.922	644.531	10656.7
Length  104/26, alignment  0/ 9, found:	536.281	525.719	5397.95
Length  104/26, alignment  0/ 9, fail:	656.734	644.531	10663.2
Length  104/26, alignment  0/15, found:	536.297	524.906	5824.39
Length  104/26, alignment  0/15, fail:	658.359	643.719	10644.5
Length  104/26, alignment  3/ 0, found:	536.297	525.719	5401.2
Length  104/26, alignment  3/ 0, fail:	655.109	644.531	10665.7
Length  104/26, alignment  3/ 3, found:	536.297	524.906	5392.25
Length  104/26, alignment  3/ 3, fail:	655.922	642.906	10657.6
Length  104/26, alignment  3/ 9, found:	536.297	524.891	5397.94
Length  104/26, alignment  3/ 9, fail:	657.547	643.719	10662.4
Length  104/26, alignment  3/15, found:	537.109	524.078	5381.67
Length  104/26, alignment  3/15, fail:	656.734	643.719	10643.7
Length  104/26, alignment  9/ 0, found:	537.109	524.906	5400.39
Length  104/26, alignment  9/ 0, fail:	656.734	642.906	10664.9
Length  104/26, alignment  9/ 3, found:	537.109	525.719	5391.44
Length  104/26, alignment  9/ 3, fail:	656.734	643.719	10658.4
Length  104/26, alignment  9/ 9, found:	536.297	524.906	5396.31
Length  104/26, alignment  9/ 9, fail:	655.922	644.531	10662.4
Length  104/26, alignment  9/15, found:	535.484	710.453	5383.3
Length  104/26, alignment  9/15, fail:	658.359	644.531	10643.7
Length  104/26, alignment 15/ 0, found:	536.297	524.094	5406.08
Length  104/26, alignment 15/ 0, fail:	655.938	643.719	10665.7
Length  104/26, alignment 15/ 3, found:	537.109	525.719	5391.44
Length  104/26, alignment 15/ 3, fail:	656.734	642.094	10657.5
Length  104/26, alignment 15/ 9, found:	536.297	525.719	5396.33
Length  104/26, alignment 15/ 9, fail:	656.734	643.719	10662.4
Length  104/26, alignment 15/15, found:	536.297	524.906	5380.05
Length  104/26, alignment 15/15, fail:	655.922	643.719	10646.2
Length  130/26, alignment  0/ 0, found:	563.969	552.578	6707.36
Length  130/26, alignment  0/ 0, fail:	712.891	699.047	13300.8
Length  130/26, alignment  0/ 3, found:	564.781	551.766	6700.84
Length  130/26, alignment  0/ 3, fail:	712.078	698.25	13295.9
Length  130/26, alignment  0/ 9, found:	562.344	552.562	6889.64
Length  130/26, alignment  0/ 9, fail:	713.719	699.062	13297.5
Length  130/26, alignment  0/15, found:	564.781	553.375	6695.97
Length  130/26, alignment  0/15, fail:	712.891	699.047	13279.6
Length  130/26, alignment  3/ 0, found:	573.734	562.328	6708.17
Length  130/26, alignment  3/ 0, fail:	721.031	707.188	13300.8
Length  130/26, alignment  3/ 3, found:	572.922	561.531	6699.22
Length  130/26, alignment  3/ 3, fail:	721.844	709.641	13293.5
Length  130/26, alignment  3/ 9, found:	573.734	562.328	6704.09
Length  130/26, alignment  3/ 9, fail:	721.844	708.016	13297.5
Length  130/26, alignment  3/15, found:	572.094	563.156	6696.78
Length  130/26, alignment  3/15, fail:	720.203	707.188	13281.2
Length  130/26, alignment  9/ 0, found:	564.781	551.766	6708.17
Length  130/26, alignment  9/ 0, fail:	711.266	699.047	13528.7
Length  130/26, alignment  9/ 3, found:	566.406	553.375	6700.03
Length  130/26, alignment  9/ 3, fail:	711.266	699.062	13296.7
Length  130/26, alignment  9/ 9, found:	563.156	552.578	6704.11
Length  130/26, alignment  9/ 9, fail:	712.078	698.234	13299.1
Length  130/26, alignment  9/15, found:	563.156	552.562	6696.78
Length  130/26, alignment  9/15, fail:	710.453	699.062	13287.8
Length  130/26, alignment 15/ 0, found:	573.734	561.531	6708.17
Length  130/26, alignment 15/ 0, fail:	722.656	708.016	13302.4
Length  130/26, alignment 15/ 3, found:	572.094	560.703	6700.03
Length  130/26, alignment 15/ 3, fail:	721.031	708.812	13293.5
Length  130/26, alignment 15/ 9, found:	574.547	562.344	6704.09
Length  130/26, alignment 15/ 9, fail:	720.219	708	13299.1
Length  130/26, alignment 15/15, found:	572.922	562.344	6875.81
Length  130/26, alignment 15/15, fail:	721.844	708.812	13281.2
Length  156/26, alignment  0/ 0, found:	592.453	580.25	8036.28
Length  156/26, alignment  0/ 0, fail:	777.172	763.344	15935.9
Length  156/26, alignment  0/ 3, found:	592.438	581.062	8028.98
Length  156/26, alignment  0/ 3, fail:	776.375	763.344	15928.6
Length  156/26, alignment  0/ 9, found:	591.625	581.047	8034.66
Length  156/26, alignment  0/ 9, fail:	775.562	763.344	15934.2
Length  156/26, alignment  0/15, found:	591.641	580.234	8015.95
Length  156/26, alignment  0/15, fail:	775.562	762.531	15915.5
Length  156/26, alignment  3/ 0, found:	599.766	589.188	8036.3
Length  156/26, alignment  3/ 0, fail:	776.359	762.531	16107.6
Length  156/26, alignment  3/ 3, found:	603.031	590	8028.16
Length  156/26, alignment  3/ 3, fail:	776.359	764.156	15928.5
Length  156/26, alignment  3/ 9, found:	601.391	590	8033.05
Length  156/26, alignment  3/ 9, fail:	774.734	763.344	15933.4
Length  156/26, alignment  3/15, found:	600.578	590	8015.14
Length  156/26, alignment  3/15, fail:	775.547	764.156	15915.5
Length  156/26, alignment  9/ 0, found:	590.812	580.234	8036.28
Length  156/26, alignment  9/ 0, fail:	774.734	764.172	15935.9
Length  156/26, alignment  9/ 3, found:	590.812	579.422	8028.16
Length  156/26, alignment  9/ 3, fail:	775.562	763.359	15928.5
Length  156/26, alignment  9/ 9, found:	590.812	581.062	8202.31
Length  156/26, alignment  9/ 9, fail:	775.562	762.531	15935.1
Length  156/26, alignment  9/15, found:	592.453	580.25	8015.94
Length  156/26, alignment  9/15, fail:	775.562	762.531	15915.5
Length  156/26, alignment 15/ 0, found:	601.406	588.391	8037.11
Length  156/26, alignment 15/ 0, fail:	775.562	762.531	15935.1
Length  156/26, alignment 15/ 3, found:	602.219	589.203	8028.97
Length  156/26, alignment 15/ 3, fail:	776.375	761.719	15928.5
Length  156/26, alignment 15/ 9, found:	601.406	590.812	8033.84
Length  156/26, alignment 15/ 9, fail:	775.562	764.156	15933.4
Length  156/26, alignment 15/15, found:	601.391	590.828	8015.14
Length  156/26, alignment 15/15, fail:	775.547	763.344	16082.4
Length  182/26, alignment  0/ 0, found:	621.734	609.531	9353.84
Length  182/26, alignment  0/ 0, fail:	830.078	817.875	18572.6
Length  182/26, alignment  0/ 3, found:	620.125	607.094	9345.7
Length  182/26, alignment  0/ 3, fail:	830.078	817.875	18564.5
Length  182/26, alignment  0/ 9, found:	619.312	607.094	9349.78
Length  182/26, alignment  0/ 9, fail:	830.078	817.875	18569.3
Length  182/26, alignment  0/15, found:	620.125	608.719	9333.5
Length  182/26, alignment  0/15, fail:	830.891	818.688	18551.4
Length  182/26, alignment  3/ 0, found:	627.438	616.875	9353.03
Length  182/26, alignment  3/ 0, fail:	839.031	826.016	18739.4
Length  182/26, alignment  3/ 3, found:	629.891	617.688	9345.7
Length  182/26, alignment  3/ 3, fail:	839.844	828.453	18563.6
Length  182/26, alignment  3/ 9, found:	628.25	616.047	9349.77
Length  182/26, alignment  3/ 9, fail:	839.844	826	18568.5
Length  182/26, alignment  3/15, found:	628.25	617.672	9333.48
Length  182/26, alignment  3/15, fail:	839.844	827.641	18551.4
Length  182/26, alignment  9/ 0, found:	629.078	616.047	9353.84
Length  182/26, alignment  9/ 0, fail:	830.891	818.688	18572.6
Length  182/26, alignment  9/ 3, found:	628.266	616.047	9512.53
Length  182/26, alignment  9/ 3, fail:	832.531	819.484	18563.6
Length  182/26, alignment  9/ 9, found:	628.25	616.859	9350.59
Length  182/26, alignment  9/ 9, fail:	830.891	818.688	18569.3
Length  182/26, alignment  9/15, found:	629.078	616.047	9333.48
Length  182/26, alignment  9/15, fail:	831.703	818.688	18551.4
Length  182/26, alignment 15/ 0, found:	629.062	616.047	9354.66
Length  182/26, alignment 15/ 0, fail:	839.844	826.828	18571
Length  182/26, alignment 15/ 3, found:	630.688	617.672	9346.52
Length  182/26, alignment 15/ 3, fail:	841.484	827.625	18564.5
Length  182/26, alignment 15/ 9, found:	629.062	616.875	9519.86
Length  182/26, alignment 15/ 9, fail:	840.656	827.641	18569.3
Length  182/26, alignment 15/15, found:	627.438	616.859	9334.31
Length  182/26, alignment 15/15, fail:	839.031	826.812	18552.2
Length  108/27, alignment  0/ 0, found:	540.375	529.781	5772.31
Length  108/27, alignment  0/ 0, fail:	669.766	656.734	11430.7
Length  108/27, alignment  0/ 3, found:	541.172	529.781	5764.16
Length  108/27, alignment  0/ 3, fail:	669.766	657.547	11422.5
Length  108/27, alignment  0/ 9, found:	540.359	530.594	5768.23
Length  108/27, alignment  0/ 9, fail:	669.75	656.734	11428.2
Length  108/27, alignment  0/15, found:	541.172	529.781	5764.16
Length  108/27, alignment  0/15, fail:	669.766	656.734	11409.5
Length  108/27, alignment  3/ 0, found:	550.938	538.734	5773.11
Length  108/27, alignment  3/ 0, fail:	669.75	825.188	11432.3
Length  108/27, alignment  3/ 3, found:	553.391	538.75	5764.16
Length  108/27, alignment  3/ 3, fail:	670.562	655.938	11422.5
Length  108/27, alignment  3/ 9, found:	550.938	538.734	5770.67
Length  108/27, alignment  3/ 9, fail:	668.953	658.359	11430.7
Length  108/27, alignment  3/15, found:	550.953	537.109	5761.72
Length  108/27, alignment  3/15, fail:	669.766	656.734	11409.5
Length  108/27, alignment  9/ 0, found:	541.172	528.969	5770.67
Length  108/27, alignment  9/ 0, fail:	669.766	656.734	11429.9
Length  108/27, alignment  9/ 3, found:	541.984	528.969	5765.78
Length  108/27, alignment  9/ 3, fail:	670.562	657.547	11423.3
Length  108/27, alignment  9/ 9, found:	541.172	529.781	5769.86
Length  108/27, alignment  9/ 9, fail:	669.766	656.734	11427.4
Length  108/27, alignment  9/15, found:	540.375	529.797	5761.72
Length  108/27, alignment  9/15, fail:	669.75	655.938	11600.8
Length  108/27, alignment 15/ 0, found:	551.766	538.734	5772.3
Length  108/27, alignment 15/ 0, fail:	669.75	656.734	11430.7
Length  108/27, alignment 15/ 3, found:	550.938	539.547	5764.16
Length  108/27, alignment 15/ 3, fail:	668.938	656.734	11422.5
Length  108/27, alignment 15/ 9, found:	550.141	538.75	5769.03
Length  108/27, alignment 15/ 9, fail:	669.766	656.734	11427.4
Length  108/27, alignment 15/15, found:	548.5	538.734	5761.72
Length  108/27, alignment 15/15, fail:	668.953	656.734	11409.5
Length  135/27, alignment  0/ 0, found:	568.031	555.828	7144.38
Length  135/27, alignment  0/ 0, fail:	725.094	711.266	14257.8
Length  135/27, alignment  0/ 3, found:	568.031	556.641	7136.22
Length  135/27, alignment  0/ 3, fail:	724.281	711.266	14249.7
Length  135/27, alignment  0/ 9, found:	568.844	557.453	7141.11
Length  135/27, alignment  0/ 9, fail:	725.109	711.266	14439.3
Length  135/27, alignment  0/15, found:	570.484	556.641	7124.03
Length  135/27, alignment  0/15, fail:	724.281	711.266	14236.7
Length  135/27, alignment  3/ 0, found:	576.984	566.406	7143.56
Length  135/27, alignment  3/ 0, fail:	734.859	721.844	14257.8
Length  135/27, alignment  3/ 3, found:	577.797	564.781	7137.86
Length  135/27, alignment  3/ 3, fail:	733.234	721.031	14249.7
Length  135/27, alignment  3/ 9, found:	577.812	565.594	7141.12
Length  135/27, alignment  3/ 9, fail:	734.047	720.203	14254.6
Length  135/27, alignment  3/15, found:	577.797	565.594	7124.84
Length  135/27, alignment  3/15, fail:	732.422	721.031	14237.5
Length  135/27, alignment  9/ 0, found:	577	566.406	7143.56
Length  135/27, alignment  9/ 0, fail:	733.234	721.031	14405.1
Length  135/27, alignment  9/ 3, found:	577.797	566.406	7137.05
Length  135/27, alignment  9/ 3, fail:	734.062	721.016	14249.7
Length  135/27, alignment  9/ 9, found:	577.797	565.594	7141.11
Length  135/27, alignment  9/ 9, fail:	734.062	721.031	14255.4
Length  135/27, alignment  9/15, found:	576.984	566.406	7124.03
Length  135/27, alignment  9/15, fail:	734.047	721.844	14235.8
Length  135/27, alignment 15/ 0, found:	577.797	566.406	7144.38
Length  135/27, alignment 15/ 0, fail:	734.047	721.844	14258.6
Length  135/27, alignment 15/ 3, found:	578.625	565.594	7138.67
Length  135/27, alignment 15/ 3, fail:	735.672	722.656	14250.5
Length  135/27, alignment 15/ 9, found:	577.797	566.406	7142.73
Length  135/27, alignment 15/ 9, fail:	733.234	721.844	14441.7
Length  135/27, alignment 15/15, found:	579.438	567.219	7124.84
Length  135/27, alignment 15/15, fail:	735.688	721.031	14238.3
Length  162/27, alignment  0/ 0, found:	605.469	593.266	8609.22
Length  162/27, alignment  0/ 0, fail:	790.203	777.172	17085
Length  162/27, alignment  0/ 3, found:	606.281	593.266	8601.88
Length  162/27, alignment  0/ 3, fail:	789.391	777.172	17076
Length  162/27, alignment  0/ 9, found:	605.469	593.25	8605.97
Length  162/27, alignment  0/ 9, fail:	790.203	775.547	17080.9
Length  162/27, alignment  0/15, found:	605.469	592.453	8590.5
Length  162/27, alignment  0/15, fail:	791.016	777.172	17066.2
Length  162/27, alignment  3/ 0, found:	616.859	603.031	8611.66
Length  162/27, alignment  3/ 0, fail:	798.344	786.125	17084.2
Length  162/27, alignment  3/ 3, found:	615.234	603.031	8602.7
Length  162/27, alignment  3/ 3, fail:	797.531	784.5	17077.6
Length  162/27, alignment  3/ 9, found:	613.609	602.203	8606.78
Length  162/27, alignment  3/ 9, fail:	797.531	785.328	17081.7
Length  162/27, alignment  3/15, found:	616.047	601.406	8589.69
Length  162/27, alignment  3/15, fail:	798.344	786.141	17063.8
Length  162/27, alignment  9/ 0, found:	605.469	594.078	8609.2
Length  162/27, alignment  9/ 0, fail:	789.391	777.188	17084.2
Length  162/27, alignment  9/ 3, found:	604.656	592.438	8782.56
Length  162/27, alignment  9/ 3, fail:	789.391	776.359	17077.6
Length  162/27, alignment  9/ 9, found:	604.656	593.266	8607.59
Length  162/27, alignment  9/ 9, fail:	789.391	775.547	17082.5
Length  162/27, alignment  9/15, found:	605.469	593.266	8590.48
Length  162/27, alignment  9/15, fail:	789.391	777.172	17064.6
Length  162/27, alignment 15/ 0, found:	612.797	602.219	8609.22
Length  162/27, alignment 15/ 0, fail:	799.156	786.125	17085
Length  162/27, alignment 15/ 3, found:	615.234	603.031	8601.89
Length  162/27, alignment 15/ 3, fail:	798.344	786.125	17076.8
Length  162/27, alignment 15/ 9, found:	614.422	602.219	8807.78
Length  162/27, alignment 15/ 9, fail:	799.969	786.125	17081.7
Length  162/27, alignment 15/15, found:	614.422	602.219	8588.88
Length  162/27, alignment 15/15, fail:	799.156	785.312	17064.6
Length  189/27, alignment  0/ 0, found:	632.312	620.125	9970.7
Length  189/27, alignment  0/ 0, fail:	852.875	840.656	19912.1
Length  189/27, alignment  0/ 3, found:	633.141	621.734	9962.56
Length  189/27, alignment  0/ 3, fail:	852.859	841.469	19903.2
Length  189/27, alignment  0/ 9, found:	633.141	621.75	9967.45
Length  189/27, alignment  0/ 9, fail:	853.672	840.656	19908
Length  189/27, alignment  0/15, found:	632.328	620.922	9953.61
Length  189/27, alignment  0/15, fail:	853.688	842.281	19890.1
Length  189/27, alignment  3/ 0, found:	641.281	629.875	9970.7
Length  189/27, alignment  3/ 0, fail:	861.828	849.609	19910.5
Length  189/27, alignment  3/ 3, found:	640.469	629.891	9963.38
Length  189/27, alignment  3/ 3, fail:	863.453	850.438	19903.2
Length  189/27, alignment  3/ 9, found:	642.906	629.875	9967.44
Length  189/27, alignment  3/ 9, fail:	862.625	849.609	19908.8
Length  189/27, alignment  3/15, found:	642.094	630.688	9950.36
Length  189/27, alignment  3/15, fail:	862.625	848.797	20055.3
Length  189/27, alignment  9/ 0, found:	632.328	621.75	9971.52
Length  189/27, alignment  9/ 0, fail:	853.672	841.469	19910.5
Length  189/27, alignment  9/ 3, found:	632.312	622.562	9961.75
Length  189/27, alignment  9/ 3, fail:	852.859	840.656	19903.2
Length  189/27, alignment  9/ 9, found:	633.141	620.938	9967.45
Length  189/27, alignment  9/ 9, fail:	852.859	839.844	19908
Length  189/27, alignment  9/15, found:	631.516	620.938	9950.36
Length  189/27, alignment  9/15, fail:	854.484	839.844	19888.5
Length  189/27, alignment 15/ 0, found:	642.078	629.891	10135.9
Length  189/27, alignment 15/ 0, fail:	863.453	849.609	19912.1
Length  189/27, alignment 15/ 3, found:	642.906	629.891	9963.38
Length  189/27, alignment 15/ 3, fail:	861.812	850.438	19904.8
Length  189/27, alignment 15/ 9, found:	642.906	629.891	9967.44
Length  189/27, alignment 15/ 9, fail:	862.625	849.609	19909.7
Length  189/27, alignment 15/15, found:	641.281	629.875	9951.17
Length  189/27, alignment 15/15, fail:	863.438	850.422	19891.8
Length  112/28, alignment  0/ 0, found:	554.203	542.797	6180.83
Length  112/28, alignment  0/ 0, fail:	683.594	668.953	12392.6
Length  112/28, alignment  0/ 3, found:	557.453	542.812	6172.69
Length  112/28, alignment  0/ 3, fail:	683.594	670.578	12215.2
Length  112/28, alignment  0/ 9, found:	553.391	541.984	6176.77
Length  112/28, alignment  0/ 9, fail:	683.594	669.75	12219.2
Length  112/28, alignment  0/15, found:	554.203	542	6159.67
Length  112/28, alignment  0/15, fail:	682.781	671.391	12203
Length  112/28, alignment  3/ 0, found:	554.203	543.609	6180.02
Length  112/28, alignment  3/ 0, fail:	683.594	671.391	12224.1
Length  112/28, alignment  3/ 3, found:	555.016	543.625	6171.88
Length  112/28, alignment  3/ 3, fail:	683.594	671.391	12215.2
Length  112/28, alignment  3/ 9, found:	553.391	542.812	6175.12
Length  112/28, alignment  3/ 9, fail:	682.781	670.578	12220
Length  112/28, alignment  3/15, found:	555.016	542	6158.05
Length  112/28, alignment  3/15, fail:	683.594	669.75	12373
Length  112/28, alignment  9/ 0, found:	556.641	542.797	6178.39
Length  112/28, alignment  9/ 0, fail:	684.406	670.578	12222.5
Length  112/28, alignment  9/ 3, found:	554.188	541.984	6172.69
Length  112/28, alignment  9/ 3, fail:	682.781	670.578	12215.2
Length  112/28, alignment  9/ 9, found:	553.391	541.984	6175.94
Length  112/28, alignment  9/ 9, fail:	683.594	670.578	12220.9
Length  112/28, alignment  9/15, found:	553.375	541.984	6158.05
Length  112/28, alignment  9/15, fail:	682.781	669.766	12202.1
Length  112/28, alignment 15/ 0, found:	555.016	542	6180.02
Length  112/28, alignment 15/ 0, fail:	682.781	670.578	12223.3
Length  112/28, alignment 15/ 3, found:	554.203	542.812	6171.88
Length  112/28, alignment 15/ 3, fail:	682.781	671.375	12216
Length  112/28, alignment 15/ 9, found:	555.016	542.797	6175.95
Length  112/28, alignment 15/ 9, fail:	682.781	671.375	12386.9
Length  112/28, alignment 15/15, found:	555.016	543.625	6158.86
Length  112/28, alignment 15/15, fail:	682.781	670.578	12202.2
Length  140/28, alignment  0/ 0, found:	581.859	569.672	7692.88
Length  140/28, alignment  0/ 0, fail:	748.703	734.859	15247.4
Length  140/28, alignment  0/ 3, found:	582.688	570.469	7683.11
Length  140/28, alignment  0/ 3, fail:	747.062	734.875	15240.1
Length  140/28, alignment  0/ 9, found:	581.875	569.672	7688.8
Length  140/28, alignment  0/ 9, fail:	747.078	734.047	15245
Length  140/28, alignment  0/15, found:	581.062	571.297	7671.72
Length  140/28, alignment  0/15, fail:	747.875	734.859	15227.9
Length  140/28, alignment  3/ 0, found:	590.812	579.438	7691.25
Length  140/28, alignment  3/ 0, fail:	747.891	734.047	15414.2
Length  140/28, alignment  3/ 3, found:	592.438	580.234	7683.92
Length  140/28, alignment  3/ 3, fail:	747.891	734.859	15240.1
Length  140/28, alignment  3/ 9, found:	591.641	579.422	7688.8
Length  140/28, alignment  3/ 9, fail:	747.875	734.047	15245
Length  140/28, alignment  3/15, found:	590.812	579.422	7672.53
Length  140/28, alignment  3/15, fail:	747.062	734.047	15226.2
Length  140/28, alignment  9/ 0, found:	581.875	568.859	7691.23
Length  140/28, alignment  9/ 0, fail:	747.062	735.688	15247.4
Length  140/28, alignment  9/ 3, found:	581.062	569.672	7683.09
Length  140/28, alignment  9/ 3, fail:	747.062	734.047	15240.9
Length  140/28, alignment  9/ 9, found:	582.672	570.484	7998.05
Length  140/28, alignment  9/ 9, fail:	750.312	735.672	15246.6
Length  140/28, alignment  9/15, found:	581.859	569.656	7671.7
Length  140/28, alignment  9/15, fail:	747.891	734.859	15227.9
Length  140/28, alignment 15/ 0, found:	590.828	579.438	7691.25
Length  140/28, alignment 15/ 0, fail:	747.891	734.047	15247.4
Length  140/28, alignment 15/ 3, found:	590.828	578.609	7683.11
Length  140/28, alignment 15/ 3, fail:	746.266	734.047	15240.1
Length  140/28, alignment 15/ 9, found:	591.641	581.047	7689.62
Length  140/28, alignment 15/ 9, fail:	747.891	733.234	15245
Length  140/28, alignment 15/15, found:	591.641	579.422	7671.72
Length  140/28, alignment 15/15, fail:	747.891	734.047	15228.7
Length  168/28, alignment  0/ 0, found:	797.516	607.094	9204.11
Length  168/28, alignment  0/ 0, fail:	813	799.156	18273.9
Length  168/28, alignment  0/ 3, found:	617.672	607.094	9195.97
Length  168/28, alignment  0/ 3, fail:	813	798.344	18265.8
Length  168/28, alignment  0/ 9, found:	620.109	607.094	9200.84
Length  168/28, alignment  0/ 9, fail:	811.359	798.344	18269.9
Length  168/28, alignment  0/15, found:	619.297	608.719	9183.77
Length  168/28, alignment  0/15, fail:	812.172	799.156	18253.6
Length  168/28, alignment  3/ 0, found:	617.688	607.906	9203.3
Length  168/28, alignment  3/ 0, fail:	812.188	798.344	18443.2
Length  168/28, alignment  3/ 3, found:	620.109	607.906	9195.97
Length  168/28, alignment  3/ 3, fail:	812.172	800.781	18264.2
Length  168/28, alignment  3/ 9, found:	617.672	607.094	9201.66
Length  168/28, alignment  3/ 9, fail:	811.359	798.328	18269.9
Length  168/28, alignment  3/15, found:	617.672	607.922	9184.56
Length  168/28, alignment  3/15, fail:	811.375	798.344	18252.8
Length  168/28, alignment  9/ 0, found:	619.297	607.906	9204.09
Length  168/28, alignment  9/ 0, fail:	812.172	798.344	18272.3
Length  168/28, alignment  9/ 3, found:	617.688	607.906	9195.16
Length  168/28, alignment  9/ 3, fail:	811.359	798.328	18432.6
Length  168/28, alignment  9/ 9, found:	620.125	607.094	9201.67
Length  168/28, alignment  9/ 9, fail:	810.547	797.516	18269
Length  168/28, alignment  9/15, found:	618.484	606.281	9183.77
Length  168/28, alignment  9/15, fail:	812.172	797.516	18252
Length  168/28, alignment 15/ 0, found:	618.484	606.281	9204.11
Length  168/28, alignment 15/ 0, fail:	811.359	799.156	18271.5
Length  168/28, alignment 15/ 3, found:	619.312	605.469	9195.97
Length  168/28, alignment 15/ 3, fail:	812.984	798.328	18265
Length  168/28, alignment 15/ 9, found:	619.297	607.109	9202.48
Length  168/28, alignment 15/ 9, fail:	811.359	799.156	18438.3
Length  168/28, alignment 15/15, found:	619.312	607.906	9184.56
Length  168/28, alignment 15/15, fail:	810.547	799.156	18252
Length  196/28, alignment  0/ 0, found:	646.969	633.953	10706.4
Length  196/28, alignment  0/ 0, fail:	875.656	861.828	21298
Length  196/28, alignment  0/ 3, found:	646.156	633.953	10697.4
Length  196/28, alignment  0/ 3, fail:	876.469	861.828	21289.9
Length  196/28, alignment  0/ 9, found:	646.172	633.953	10703.9
Length  196/28, alignment  0/ 9, fail:	874.016	863.453	21294
Length  196/28, alignment  0/15, found:	647.797	803.219	10696.6
Length  196/28, alignment  0/15, fail:	876.453	864.266	21277.7
Length  196/28, alignment  3/ 0, found:	655.109	643.719	10705.6
Length  196/28, alignment  3/ 0, fail:	875.656	862.625	21296.4
Length  196/28, alignment  3/ 3, found:	654.297	642.906	10699.1
Length  196/28, alignment  3/ 3, fail:	876.453	863.453	21289.9
Length  196/28, alignment  3/ 9, found:	655.109	642.906	10703.1
Length  196/28, alignment  3/ 9, fail:	875.656	863.438	21294.8
Length  196/28, alignment  3/15, found:	654.297	643.719	10861
Length  196/28, alignment  3/15, fail:	876.469	863.438	21276.9
Length  196/28, alignment  9/ 0, found:	646.969	634.766	10704.8
Length  196/28, alignment  9/ 0, fail:	875.641	864.266	21298
Length  196/28, alignment  9/ 3, found:	646.156	634.766	10698.2
Length  196/28, alignment  9/ 3, fail:	875.656	862.625	21289.9
Length  196/28, alignment  9/ 9, found:	645.344	633.953	10704.8
Length  196/28, alignment  9/ 9, fail:	874.828	863.438	21294.8
Length  196/28, alignment  9/15, found:	644.531	633.125	10694.2
Length  196/28, alignment  9/15, fail:	875.656	862.625	21440.4
Length  196/28, alignment 15/ 0, found:	655.922	643.719	10706.4
Length  196/28, alignment 15/ 0, fail:	875.656	861.828	21298
