                       	wcsncmp	simple_wcsncmp	stupid_wcsncmp
Length    8/  15, alignment 30/ 7:	104.172	117.188	240.891
Length    8/  15, alignment 15/ 5:	104.172	115.562	241.703
Length   16/  32, alignment  0/ 0:	158.703	160.312	297.844
Length   16/  32, alignment  0/ 0:	159.5	161.953	355.625
Length   16/  32, alignment  0/ 0:	158.688	161.125	358.078
Length   16/  32, alignment  0/ 0:	157.875	161.141	297.031
Length   16/  32, alignment  0/ 0:	159.5	161.125	354.828
Length   16/  32, alignment  0/ 0:	157.062	160.328	358.891
Length   16/  32, alignment  7/ 2:	172.531	174.969	323.094
Length   16/  32, alignment  7/ 2:	173.328	176.594	387.359
Length   16/  32, alignment  2/ 1:	174.156	174.969	324.703
Length   16/  32, alignment  2/ 1:	174.969	175.781	387.375
Length   32/  64, alignment  0/ 0:	256.344	267.734	491.531
Length   32/  64, alignment  0/ 0:	257.156	268.547	611.969
Length   32/  64, alignment  0/ 0:	255.531	268.562	616.047
Length   32/  64, alignment  0/ 0:	255.531	267.734	490.719
Length   32/  64, alignment  0/ 0:	257.156	268.547	612.797
Length   32/  64, alignment  0/ 0:	255.531	267.734	615.234
Length   32/  64, alignment  6/ 4:	267.75	281.578	515.953
Length   32/  64, alignment  6/ 4:	270.188	283.203	651.859
Length   32/  64, alignment  4/ 2:	267.734	280.766	516.766
Length   32/  64, alignment  4/ 2:	269.375	283.203	638.031
Length   64/ 128, alignment  0/ 0:	448.406	480.953	878.094
Length   64/ 128, alignment  0/ 0:	450.844	483.406	1124.67
Length   64/ 128, alignment  0/ 0:	449.219	480.953	1127.94
Length   64/ 128, alignment  0/ 0:	448.406	479.328	877.281
Length   64/ 128, alignment  0/ 0:	450.844	482.578	1124.69
Length   64/ 128, alignment  0/ 0:	448.406	480.953	1127.12
Length   64/ 128, alignment  5/ 6:	499.672	536.297	983.891
Length   64/ 128, alignment  5/ 6:	502.125	537.109	1258.95
Length   64/ 128, alignment  6/ 3:	502.922	1793.62	985.516
Length   64/ 128, alignment  6/ 3:	506.172	537.109	1257.31
Length  128/ 256, alignment  0/ 0:	835.781	906.562	1651.2
Length  128/ 256, alignment  0/ 0:	835.781	908.203	2151.69
Length  128/ 256, alignment  0/ 0:	834.969	909.016	2155.77
Length  128/ 256, alignment  0/ 0:	834.156	907.391	1652.02
Length  128/ 256, alignment  0/ 0:	836.578	909.828	2151.69
Length  128/ 256, alignment  0/ 0:	834.156	907.391	2155.75
Length  128/ 256, alignment  4/ 0:	834.141	906.578	1651.2
Length  128/ 256, alignment  4/ 0:	946.453	909.016	2260.73
Length  128/ 256, alignment  8/ 4:	835.781	907.391	1650.39
Length  128/ 256, alignment  8/ 4:	835.781	907.391	2152.5
Length  256/ 512, alignment  0/ 0:	1608.08	1761.88	3197.42
Length  256/ 512, alignment  0/ 0:	1610.52	1763.52	4205.73
Length  256/ 512, alignment  0/ 0:	1608.06	1759.44	4208.98
Length  256/ 512, alignment  0/ 0:	1608.08	1760.25	3198.23
Length  256/ 512, alignment  0/ 0:	1608.89	1762.7	4205.73
Length  256/ 512, alignment  0/ 0:	1608.06	1761.06	4423.83
Length  256/ 512, alignment  3/ 2:	1824.55	1975.11	3623.05
Length  256/ 512, alignment  3/ 2:	1822.92	1975.91	4738.77
Length  256/ 512, alignment 10/ 5:	1823.73	1975.11	3625.5
Length  256/ 512, alignment 10/ 5:	1824.55	1976.73	4739.59
Length  512/1024, alignment  0/ 0:	3156.73	3466.8	6291.5
Length  512/1024, alignment  0/ 0:	3157.56	3670.25	8315.44
Length  512/1024, alignment  0/ 0:	3156.73	3467.61	8317.06
Length  512/1024, alignment  0/ 0:	3155.92	3468.44	6292.33
Length  512/1024, alignment  0/ 0:	3157.55	3469.23	8313
Length  512/1024, alignment  0/ 0:	3155.11	3467.62	8317.05
Length  512/1024, alignment  2/ 4:	3369.14	3681.64	6718.75
Length  512/1024, alignment  2/ 4:	3557.94	3684.89	8954.27
Length  512/1024, alignment 12/ 6:	3371.58	3683.28	6916.52
Length  512/1024, alignment 12/ 6:	3373.2	3684.09	8739.42
Length    0/   0:	44.75	36.625	70.7969
Length   21/  20, alignment  4/ 0:	178.219	180.656	334.469
Length   21/  20, alignment  0/ 4:	178.234	180.672	334.469
Length   25/  24, alignment  8/ 0:	201.828	207.516	381.672
Length   25/  24, alignment  0/ 8:	201.828	207.516	381.672
Length   17/  16, alignment  0/ 0:	153.797	153.812	284.828
Length   17/  16, alignment  0/ 0:	153.812	154.625	284.828
Length   15/  16, alignment  0/ 0:	150.562	153.812	283.203
Length   15/  16, alignment  0/ 0:	153	155.438	284.828
Length   15/  16, alignment  0/ 0:	151.375	153	284.828
Length   15/  16, alignment  0/ 0:	150.547	154.625	283.203
Length   15/  16, alignment  0/ 0:	153.812	154.609	283.203
Length   15/  16, alignment  0/ 0:	150.547	153.812	284.828
Length   16/  15, alignment  0/ 0:	148.109	147.297	275.062
Length   16/  15, alignment  0/ 0:	146.484	148.109	274.25
Length   14/  15, alignment  0/ 0:	151.375	147.297	277.5
Length   14/  15, alignment  0/ 0:	148.109	148.109	275.062
Length   14/  15, alignment  0/ 0:	151.375	147.297	277.516
Length   14/  15, alignment  0/ 0:	152.188	148.922	278.328
Length   14/  15, alignment  0/ 0:	147.297	148.938	275.875
Length   14/  15, alignment  0/ 0:	151.375	147.297	276.688
Length   15/  14, alignment  0/ 0:	142.422	140.797	270.188
Length   15/  14, alignment  0/ 0:	144.047	140.781	270.172
Length   13/  14, alignment  0/ 0:	146.484	140.797	258.797
Length   13/  14, alignment  0/ 0:	144.859	141.609	264.484
Length   13/  14, alignment  0/ 0:	146.484	140.797	264.484
Length   13/  14, alignment  0/ 0:	147.297	139.969	257.172
Length   13/  14, alignment  0/ 0:	144.859	141.609	262.047
Length   13/  14, alignment  0/ 0:	145.672	140.797	265.312
Length   14/  13, alignment  0/ 0:	137.531	134.281	248.219
