                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length   30/2, alignment  3/15, found:	493.969	561.531	1212.56
Length   30/2, alignment  3/15, fail:	485.031	547.688	1236.97
Length   30/2, alignment  9/ 0, found:	493.969	561.516	1214.19
Length   30/2, alignment  9/ 0, fail:	482.594	546.875	1228.02
Length   30/2, alignment  9/ 3, found:	493.172	559.906	1210.94
Length   30/2, alignment  9/ 3, fail:	483.406	546.062	1220.7
Length   30/2, alignment  9/ 9, found:	493.984	558.266	1211.77
Length   30/2, alignment  9/ 9, fail:	483.391	546.062	1228.03
Length   30/2, alignment  9/15, found:	493.172	559.891	1210.94
Length   30/2, alignment  9/15, fail:	484.219	546.875	1223.97
Length   30/2, alignment 15/ 0, found:	491.531	560.719	1191.41
Length   30/2, alignment 15/ 0, fail:	483.391	547.688	1205.25
Length   30/2, alignment 15/ 3, found:	493.984	559.094	1193.03
Length   30/2, alignment 15/ 3, fail:	483.391	546.875	1206.05
Length   30/2, alignment 15/ 9, found:	493.172	561.531	1192.22
Length   30/2, alignment 15/ 9, fail:	483.406	546.875	1205.23
Length   30/2, alignment 15/15, found:	492.359	560.703	1192.22
Length   30/2, alignment 15/15, fail:	484.203	547.688	1204.44
Length    6/3, alignment  0/ 0, found:	319.016	426.438	262.047
Length    6/3, alignment  0/ 0, fail:	294.594	403.641	259.609
Length    6/3, alignment  0/ 3, found:	314.125	425.625	261.219
Length    6/3, alignment  0/ 3, fail:	292.969	404.453	258.781
Length    6/3, alignment  0/ 9, found:	315.75	424.797	261.219
Length    6/3, alignment  0/ 9, fail:	292.969	403.641	258.797
Length    6/3, alignment  0/15, found:	314.938	424.797	261.234
Length    6/3, alignment  0/15, fail:	292.969	403.641	257.984
Length    6/3, alignment  3/ 0, found:	313.312	423.984	261.234
Length    6/3, alignment  3/ 0, fail:	292.969	402.828	258.781
Length    6/3, alignment  3/ 3, found:	313.328	425.625	260.406
Length    6/3, alignment  3/ 3, fail:	293.781	402.016	259.609
Length    6/3, alignment  3/ 9, found:	312.5	424	260.422
Length    6/3, alignment  3/ 9, fail:	291.344	401.203	260.422
Length    6/3, alignment  3/15, found:	312.5	423.984	262.047
Length    6/3, alignment  3/15, fail:	291.328	402.828	412.594
Length    6/3, alignment  9/ 0, found:	326.328	435.391	261.234
Length    6/3, alignment  9/ 0, fail:	303.547	412.594	257.172
Length    6/3, alignment  9/ 3, found:	323.078	433.766	260.422
Length    6/3, alignment  9/ 3, fail:	305.984	410.969	257.984
Length    6/3, alignment  9/ 9, found:	325.516	433.75	261.234
Length    6/3, alignment  9/ 9, fail:	303.562	411.781	257.156
Length    6/3, alignment  9/15, found:	324.703	435.375	261.234
Length    6/3, alignment  9/15, fail:	303.547	412.594	258.781
Length    6/3, alignment 15/ 0, found:	311.688	424.812	260.422
Length    6/3, alignment 15/ 0, fail:	292.141	403.641	259.609
Length    6/3, alignment 15/ 3, found:	312.5	424.812	262.047
Length    6/3, alignment 15/ 3, fail:	292.156	406.094	258.781
Length    6/3, alignment 15/ 9, found:	311.688	424.812	260.422
Length    6/3, alignment 15/ 9, fail:	292.156	404.469	257.969
Length    6/3, alignment 15/15, found:	312.5	424	262.047
Length    6/3, alignment 15/15, fail:	304.359	404.469	259.594
Length    9/3, alignment  0/ 0, found:	345.875	456.547	376.797
Length    9/3, alignment  0/ 0, fail:	330.406	437.016	373.531
Length    9/3, alignment  0/ 3, found:	347.5	456.547	375.172
Length    9/3, alignment  0/ 3, fail:	328.766	438.641	373.547
Length    9/3, alignment  0/ 9, found:	345.062	456.547	375.172
Length    9/3, alignment  0/ 9, fail:	329.594	437.828	373.531
Length    9/3, alignment  0/15, found:	343.422	456.547	375.969
Length    9/3, alignment  0/15, fail:	327.969	437.016	375.156
Length    9/3, alignment  3/ 0, found:	345.875	455.734	374.344
Length    9/3, alignment  3/ 0, fail:	328.781	438.641	373.531
Length    9/3, alignment  3/ 3, found:	344.234	455.734	374.344
Length    9/3, alignment  3/ 3, fail:	327.953	438.641	373.531
Length    9/3, alignment  3/ 9, found:	345.047	455.719	375.156
Length    9/3, alignment  3/ 9, fail:	327.969	438.641	372.734
Length    9/3, alignment  3/15, found:	345.047	458.172	375.172
Length    9/3, alignment  3/15, fail:	327.969	437.016	372.734
Length    9/3, alignment  9/ 0, found:	356.453	465.5	374.359
Length    9/3, alignment  9/ 0, fail:	340.172	445.969	373.531
Length    9/3, alignment  9/ 3, found:	356.438	467.938	374.344
Length    9/3, alignment  9/ 3, fail:	338.547	447.594	373.547
Length    9/3, alignment  9/ 9, found:	358.891	464.688	375.984
Length    9/3, alignment  9/ 9, fail:	339.359	446.781	372.719
Length    9/3, alignment  9/15, found:	355.625	465.5	375.156
Length    9/3, alignment  9/15, fail:	342.609	445.969	373.531
Length    9/3, alignment 15/ 0, found:	344.234	457.344	383.297
Length    9/3, alignment 15/ 0, fail:	327.141	440.266	381.672
Length    9/3, alignment 15/ 3, found:	344.25	458.172	383.297
Length    9/3, alignment 15/ 3, fail:	328.781	437.828	380.859
Length    9/3, alignment 15/ 9, found:	344.234	456.547	382.484
Length    9/3, alignment 15/ 9, fail:	328.781	437.828	381.672
Length    9/3, alignment 15/15, found:	344.234	454.906	381.672
Length    9/3, alignment 15/15, fail:	327.141	437.812	381.672
Length   12/3, alignment  0/ 0, found:	370.281	484.203	506.188
Length   12/3, alignment  0/ 0, fail:	354	463.062	516.766
Length   12/3, alignment  0/ 3, found:	368.656	483.406	503.75
Length   12/3, alignment  0/ 3, fail:	353.188	463.859	520.016
Length   12/3, alignment  0/ 9, found:	370.281	482.594	503.75
Length   12/3, alignment  0/ 9, fail:	354.016	462.25	510.266
Length   12/3, alignment  0/15, found:	369.469	484.219	503.75
Length   12/3, alignment  0/15, fail:	353.188	462.234	521.656
Length   12/3, alignment  3/ 0, found:	370.281	481.766	508.625
Length   12/3, alignment  3/ 0, fail:	354	464.672	511.875
Length   12/3, alignment  3/ 3, found:	369.469	482.594	511.891
Length   12/3, alignment  3/ 3, fail:	354.016	461.422	520.844
Length   12/3, alignment  3/ 9, found:	371.094	481.766	506.984
Length   12/3, alignment  3/ 9, fail:	354	462.234	517.578
Length   12/3, alignment  3/15, found:	369.469	484.219	508.641
Length   12/3, alignment  3/15, fail:	352.375	463.062	520.016
Length   12/3, alignment  9/ 0, found:	382.484	493.969	506.984
Length   12/3, alignment  9/ 0, fail:	365.406	471.188	519.203
Length   12/3, alignment  9/ 3, found:	382.484	490.719	507.812
Length   12/3, alignment  9/ 3, fail:	364.578	472.016	518.391
Length   12/3, alignment  9/ 9, found:	382.484	491.531	507.812
Length   12/3, alignment  9/ 9, fail:	363.766	472	510.25
Length   12/3, alignment  9/15, found:	381.672	492.344	504.562
Length   12/3, alignment  9/15, fail:	364.594	472	520.016
Length   12/3, alignment 15/ 0, found:	369.469	483.391	493.156
Length   12/3, alignment 15/ 0, fail:	352.375	462.234	492.359
Length   12/3, alignment 15/ 3, found:	369.469	481.766	492.344
Length   12/3, alignment 15/ 3, fail:	354.812	461.422	493.172
Length   12/3, alignment 15/ 9, found:	371.094	481.766	492.344
Length   12/3, alignment 15/ 9, fail:	354.812	463.062	491.531
Length   12/3, alignment 15/15, found:	371.906	481.766	492.344
Length   12/3, alignment 15/15, fail:	354.828	462.234	492.359
Length   15/3, alignment  0/ 0, found:	397.141	507	624.188
Length   15/3, alignment  0/ 0, fail:	379.219	486.656	638.031
Length   15/3, alignment  0/ 3, found:	395.5	508.625	622.562
Length   15/3, alignment  0/ 3, fail:	377.594	488.281	640.469
Length   15/3, alignment  0/ 9, found:	396.312	507.812	625.812
Length   15/3, alignment  0/ 9, fail:	379.219	487.469	637.219
Length   15/3, alignment  0/15, found:	395.5	507.812	624.188
Length   15/3, alignment  0/15, fail:	378.422	489.094	639.656
Length   15/3, alignment  3/ 0, found:	395.5	507.812	625
Length   15/3, alignment  3/ 0, fail:	377.609	487.469	621.75
Length   15/3, alignment  3/ 3, found:	395.5	508.625	618.484
Length   15/3, alignment  3/ 3, fail:	378.422	489.094	617.672
Length   15/3, alignment  3/ 9, found:	395.5	507	621.75
Length   15/3, alignment  3/ 9, fail:	377.609	489.906	621.75
Length   15/3, alignment  3/15, found:	393.891	507.812	620.938
Length   15/3, alignment  3/15, fail:	380.047	486.641	618.484
Length   15/3, alignment  9/ 0, found:	407.719	518.391	625
Length   15/3, alignment  9/ 0, fail:	389	496.422	624.188
Length   15/3, alignment  9/ 3, found:	406.906	517.578	625
Length   15/3, alignment  9/ 3, fail:	390.625	498.047	624.172
Length   15/3, alignment  9/ 9, found:	408.531	516.75	624.172
Length   15/3, alignment  9/ 9, fail:	390.625	497.234	623.375
Length   15/3, alignment  9/15, found:	407.703	517.578	629.875
Length   15/3, alignment  9/15, fail:	389.812	496.422	623.375
Length   15/3, alignment 15/ 0, found:	394.688	507	603.844
Length   15/3, alignment 15/ 0, fail:	378.422	486.641	602.219
Length   15/3, alignment 15/ 3, found:	395.5	508.625	603.844
Length   15/3, alignment 15/ 3, fail:	377.594	486.656	601.391
Length   15/3, alignment 15/ 9, found:	397.125	507.812	601.406
Length   15/3, alignment 15/ 9, fail:	378.422	489.094	602.203
Length   15/3, alignment 15/15, found:	395.5	507.812	603.031
Length   15/3, alignment 15/15, fail:	377.594	487.469	603.031
Length   18/3, alignment  0/ 0, found:	420.734	533.031	747.062
Length   18/3, alignment  0/ 0, fail:	402.016	513.516	737.312
Length   18/3, alignment  0/ 3, found:	420.734	533.031	743.812
Length   18/3, alignment  0/ 3, fail:	402.031	513.516	735.672
Length   18/3, alignment  0/ 9, found:	420.734	533.859	736.484
Length   18/3, alignment  0/ 9, fail:	403.641	512.703	737.297
Length   18/3, alignment  0/15, found:	420.734	533.031	738.938
Length   18/3, alignment  0/15, fail:	402.828	513.5	738.125
Length   18/3, alignment  3/ 0, found:	419.922	533.047	730.797
Length   18/3, alignment  3/ 0, fail:	402.844	513.516	729.984
Length   18/3, alignment  3/ 3, found:	420.734	532.234	728.359
Length   18/3, alignment  3/ 3, fail:	402.031	511.891	728.344
Length   18/3, alignment  3/ 9, found:	419.922	533.031	727.547
Length   18/3, alignment  3/ 9, fail:	402.828	513.5	729.156
Length   18/3, alignment  3/15, found:	421.547	533.859	729.156
Length   18/3, alignment  3/15, fail:	404.453	511.875	728.359
Length   18/3, alignment  9/ 0, found:	432.125	542	735.672
Length   18/3, alignment  9/ 0, fail:	415.859	522.469	734.859
Length   18/3, alignment  9/ 3, found:	432.125	545.25	734.859
Length   18/3, alignment  9/ 3, fail:	414.234	522.469	734.062
Length   18/3, alignment  9/ 9, found:	432.125	544.422	733.234
Length   18/3, alignment  9/ 9, fail:	415.844	524.094	733.234
Length   18/3, alignment  9/15, found:	431.312	541.984	735.672
Length   18/3, alignment  9/15, fail:	415.844	521.641	734.047
Length   18/3, alignment 15/ 0, found:	420.734	531.406	721.031
Length   18/3, alignment 15/ 0, fail:	403.656	512.703	716.953
Length   18/3, alignment 15/ 3, found:	419.922	535.484	716.156
Length   18/3, alignment 15/ 3, fail:	402.828	511.875	943.203
Length   18/3, alignment 15/ 9, found:	423.172	534.672	716.953
Length   18/3, alignment 15/ 9, fail:	403.641	511.891	716.141
Length   18/3, alignment 15/15, found:	422.359	532.234	716.141
Length   18/3, alignment 15/15, fail:	402.828	513.516	714.516
Length   21/3, alignment  0/ 0, found:	445.953	557.453	852.875
Length   21/3, alignment  0/ 0, fail:	428.875	538.734	892.75
Length   21/3, alignment  0/ 3, found:	447.578	559.078	847.969
Length   21/3, alignment  0/ 3, fail:	428.875	537.922	894.375
Length   21/3, alignment  0/ 9, found:	444.328	556.641	849.609
Length   21/3, alignment  0/ 9, fail:	428.875	537.938	879.719
Length   21/3, alignment  0/15, found:	446.781	558.266	856.938
Length   21/3, alignment  0/15, fail:	428.047	536.297	883.797
Length   21/3, alignment  3/ 0, found:	445.953	559.891	848.781
Length   21/3, alignment  3/ 0, fail:	428.062	537.922	871.578
Length   21/3, alignment  3/ 3, found:	444.328	559.078	850.422
Length   21/3, alignment  3/ 3, fail:	428.062	537.922	873.203
Length   21/3, alignment  3/ 9, found:	445.156	559.078	847.984
Length   21/3, alignment  3/ 9, fail:	428.062	537.109	874.828
Length   21/3, alignment  3/15, found:	445.141	558.266	844.719
Length   21/3, alignment  3/15, fail:	427.25	537.922	874.016
Length   21/3, alignment  9/ 0, found:	457.359	569.656	844.719
Length   21/3, alignment  9/ 0, fail:	439.453	548.5	873.219
Length   21/3, alignment  9/ 3, found:	457.344	568.031	847.984
Length   21/3, alignment  9/ 3, fail:	438.641	547.688	872.406
Length   21/3, alignment  9/ 9, found:	458.172	568.844	844.734
Length   21/3, alignment  9/ 9, fail:	440.266	546.875	871.578
Length   21/3, alignment  9/15, found:	457.359	567.219	844.719
Length   21/3, alignment  9/15, fail:	440.281	546.875	872.391
Length   21/3, alignment 15/ 0, found:	445.969	559.094	828.453
Length   21/3, alignment 15/ 0, fail:	427.25	537.109	848.797
Length   21/3, alignment 15/ 3, found:	443.516	559.906	827.641
Length   21/3, alignment 15/ 3, fail:	428.875	536.297	848.797
Length   21/3, alignment 15/ 9, found:	444.344	559.094	826.016
Length   21/3, alignment 15/ 9, fail:	428.062	537.922	856.109
Length   21/3, alignment 15/15, found:	445.156	558.266	826
Length   21/3, alignment 15/15, fail:	429.688	538.75	850.422
Length   24/3, alignment  0/ 0, found:	470.375	583.5	967.609
Length   24/3, alignment  0/ 0, fail:	455.719	561.516	1007.48
Length   24/3, alignment  0/ 3, found:	471.203	582.672	961.922
Length   24/3, alignment  0/ 3, fail:	455.719	563.969	983.891
Length   24/3, alignment  0/ 9, found:	470.375	581.859	960.281
Length   24/3, alignment  0/ 9, fail:	452.469	563.141	988.766
Length   24/3, alignment  0/15, found:	470.391	582.688	961.109
Length   24/3, alignment  0/15, fail:	453.297	561.516	989.578
Length   24/3, alignment  3/ 0, found:	470.375	582.672	955.406
Length   24/3, alignment  3/ 0, fail:	453.281	563.953	983.062
Length   24/3, alignment  3/ 3, found:	470.375	581.859	954.578
Length   24/3, alignment  3/ 3, fail:	452.484	560.703	982.266
Length   24/3, alignment  3/ 9, found:	470.375	583.5	952.953
Length   24/3, alignment  3/ 9, fail:	453.297	564.766	984.703
Length   24/3, alignment  3/15, found:	471.188	582.688	952.969
Length   24/3, alignment  3/15, fail:	452.469	563.141	975.75
Length   24/3, alignment  9/ 0, found:	483.406	591.641	962.734
Length   24/3, alignment  9/ 0, fail:	466.297	573.734	994.469
Length   24/3, alignment  9/ 3, found:	485.016	592.438	969.234
Length   24/3, alignment  9/ 3, fail:	465.484	573.734	998.547
Length   24/3, alignment  9/ 9, found:	676.266	594.078	960.281
Length   24/3, alignment  9/ 9, fail:	465.484	571.297	983.078
Length   24/3, alignment  9/15, found:	480.953	590.828	963.531
Length   24/3, alignment  9/15, fail:	464.688	572.906	997.719
Length   24/3, alignment 15/ 0, found:	469.562	583.5	937.5
Length   24/3, alignment 15/ 0, fail:	455.734	563.141	963.531
Length   24/3, alignment 15/ 3, found:	469.562	583.5	937.5
Length   24/3, alignment 15/ 3, fail:	453.281	563.141	959.469
Length   24/3, alignment 15/ 9, found:	470.375	582.688	936.688
Length   24/3, alignment 15/ 9, fail:	453.281	562.328	959.469
Length   24/3, alignment 15/15, found:	470.375	583.5	935.062
Length   24/3, alignment 15/15, fail:	452.484	563.156	960.281
Length   27/3, alignment  0/ 0, found:	494.781	608.719	1079.92
Length   27/3, alignment  0/ 0, fail:	477.703	589.188	1103.52
Length   27/3, alignment  0/ 3, found:	495.609	606.297	1070.16
Length   27/3, alignment  0/ 3, fail:	477.703	586.75	1117.34
Length   27/3, alignment  0/ 9, found:	495.609	607.094	1074.22
Length   27/3, alignment  0/ 9, fail:	478.516	586.75	1100.27
Length   27/3, alignment  0/15, found:	493.984	607.094	1072.59
Length   27/3, alignment  0/15, fail:	479.328	587.562	1101.88
Length   27/3, alignment  3/ 0, found:	494.781	606.281	1066.08
Length   27/3, alignment  3/ 0, fail:	480.953	589.203	1093.75
Length   27/3, alignment  3/ 3, found:	496.422	608.719	1064.45
Length   27/3, alignment  3/ 3, fail:	477.703	587.562	1092.94
Length   27/3, alignment  3/ 9, found:	493.984	608.719	1062.02
Length   27/3, alignment  3/ 9, fail:	477.703	586.75	1093.75
Length   27/3, alignment  3/15, found:	495.609	606.281	1063.64
Length   27/3, alignment  3/15, fail:	478.516	586.766	1091.31
Length   27/3, alignment  9/ 0, found:	507.812	616.047	1068.52
Length   27/3, alignment  9/ 0, fail:	489.922	596.516	1098.64
Length   27/3, alignment  9/ 3, found:	506.188	616.875	1068.53
Length   27/3, alignment  9/ 3, fail:	492.344	595.703	1096.2
Length   27/3, alignment  9/ 9, found:	507	616.859	1068.53
Length   27/3, alignment  9/ 9, fail:	489.094	596.516	1097
Length   27/3, alignment  9/15, found:	507.812	616.047	1070.97
Length   27/3, alignment  9/15, fail:	489.906	595.703	1098.62
Length   27/3, alignment 15/ 0, found:	494.797	606.281	1061.2
Length   27/3, alignment 15/ 0, fail:	477.703	587.562	1074.22
Length   27/3, alignment 15/ 3, found:	495.609	609.547	1051.44
Length   27/3, alignment 15/ 3, fail:	478.516	587.562	1075.03
Length   27/3, alignment 15/ 9, found:	494.781	607.094	1050.62
Length   27/3, alignment 15/ 9, fail:	478.516	589.188	1075.03
Length   27/3, alignment 15/15, found:	496.406	607.906	1050.62
Length   27/3, alignment 15/15, fail:	476.875	589.188	1074.22
Length   30/3, alignment  0/ 0, found:	519.203	633.953	1187.34
Length   30/3, alignment  0/ 0, fail:	503.75	611.984	1204.44
Length   30/3, alignment  0/ 3, found:	520.828	633.141	1184.08
Length   30/3, alignment  0/ 3, fail:	502.922	612.781	1204.44
Length   30/3, alignment  0/ 9, found:	520.016	632.328	1184.89
Length   30/3, alignment  0/ 9, fail:	502.922	612.781	1212.56
Length   30/3, alignment  0/15, found:	519.203	633.125	1181.64
Length   30/3, alignment  0/15, fail:	502.938	614.422	1385.91
Length   30/3, alignment  3/ 0, found:	521.641	632.328	1184.08
Length   30/3, alignment  3/ 0, fail:	505.375	613.609	1205.25
Length   30/3, alignment  3/ 3, found:	520.016	633.953	1179.2
Length   30/3, alignment  3/ 3, fail:	506.188	612.797	1206.88
Length   30/3, alignment  3/ 9, found:	520.016	633.953	1177.58
Length   30/3, alignment  3/ 9, fail:	503.75	612.797	1211.77
Length   30/3, alignment  3/15, found:	520.016	634.766	1180.02
Length   30/3, alignment  3/15, fail:	502.922	613.594	1206.88
Length   30/3, alignment  9/ 0, found:	531.406	642.094	1182.45
Length   30/3, alignment  9/ 0, fail:	515.141	622.562	1208.5
Length   30/3, alignment  9/ 3, found:	532.234	641.266	1178.39
