                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length   18/2, alignment  0/ 9, fail:	383.312	447.594	769.859
Length   18/2, alignment  0/15, found:	393.062	459.797	773.109
Length   18/2, alignment  0/15, fail:	383.297	446.781	782.062
Length   18/2, alignment  3/ 0, found:	393.062	462.234	763.344
Length   18/2, alignment  3/ 0, fail:	384.125	445.953	773.109
Length   18/2, alignment  3/ 3, found:	394.703	460.609	762.531
Length   18/2, alignment  3/ 3, fail:	384.109	446.781	791.016
Length   18/2, alignment  3/ 9, found:	393.062	458.984	768.234
Length   18/2, alignment  3/ 9, fail:	384.125	447.594	795.094
Length   18/2, alignment  3/15, found:	393.875	458.984	765.781
Length   18/2, alignment  3/15, fail:	384.109	446.781	774.75
Length   18/2, alignment  9/ 0, found:	393.875	458.984	767.422
Length   18/2, alignment  9/ 0, fail:	383.312	448.406	795.078
Length   18/2, alignment  9/ 3, found:	392.266	458.984	769.047
Length   18/2, alignment  9/ 3, fail:	383.312	446.781	795.078
Length   18/2, alignment  9/ 9, found:	393.875	458.984	768.234
Length   18/2, alignment  9/ 9, fail:	384.125	445.969	778.812
Length   18/2, alignment  9/15, found:	393.062	462.25	766.594
Length   18/2, alignment  9/15, fail:	382.484	446.781	795.891
Length   18/2, alignment 15/ 0, found:	393.875	461.422	747.891
Length   18/2, alignment 15/ 0, fail:	384.938	446.781	760.906
Length   18/2, alignment 15/ 3, found:	393.062	459.797	747.062
Length   18/2, alignment 15/ 3, fail:	383.297	445.969	760.906
Length   18/2, alignment 15/ 9, found:	393.875	458.984	747.891
Length   18/2, alignment 15/ 9, fail:	384.125	446.781	751.953
Length   18/2, alignment 15/15, found:	393.875	458.984	747.078
Length   18/2, alignment 15/15, fail:	384.109	447.594	759.281
Length   20/2, alignment  0/ 0, found:	410.969	476.078	846.359
Length   20/2, alignment  0/ 0, fail:	399.578	463.062	854.484
Length   20/2, alignment  0/ 3, found:	410.969	475.266	843.906
Length   20/2, alignment  0/ 3, fail:	400.391	463.875	854.484
Length   20/2, alignment  0/ 9, found:	409.344	477.703	845.531
Length   20/2, alignment  0/ 9, fail:	400.391	467.125	854.484
Length   20/2, alignment  0/15, found:	409.344	476.078	842.297
Length   20/2, alignment  0/15, fail:	400.391	463.062	854.484
Length   20/2, alignment  3/ 0, found:	410.156	475.25	834.141
Length   20/2, alignment  3/ 0, fail:	400.391	463.875	847.156
Length   20/2, alignment  3/ 3, found:	409.344	476.891	834.156
Length   20/2, alignment  3/ 3, fail:	400.391	463.047	845.547
Length   20/2, alignment  3/ 9, found:	410.156	476.078	835.766
Length   20/2, alignment  3/ 9, fail:	400.391	465.484	850.422
Length   20/2, alignment  3/15, found:	410.969	476.891	834.156
Length   20/2, alignment  3/15, fail:	400.391	463.875	847.172
Length   20/2, alignment  9/ 0, found:	410.969	476.891	842.281
Length   20/2, alignment  9/ 0, fail:	399.578	463.859	866.688
Length   20/2, alignment  9/ 3, found:	409.344	476.078	844.734
Length   20/2, alignment  9/ 3, fail:	398.766	463.875	862.625
Length   20/2, alignment  9/ 9, found:	410.156	475.266	841.469
Length   20/2, alignment  9/ 9, fail:	400.391	463.859	868.328
Length   20/2, alignment  9/15, found:	409.344	477.703	843.922
Length   20/2, alignment  9/15, fail:	400.391	463.859	865.875
Length   20/2, alignment 15/ 0, found:	410.156	474.453	820.312
Length   20/2, alignment 15/ 0, fail:	400.391	464.672	833.344
Length   20/2, alignment 15/ 3, found:	410.969	476.891	819.5
Length   20/2, alignment 15/ 3, fail:	401.203	462.25	834.156
Length   20/2, alignment 15/ 9, found:	410.156	475.25	820.312
Length   20/2, alignment 15/ 9, fail:	401.203	463.047	831.703
Length   20/2, alignment 15/15, found:	410.156	476.891	821.125
Length   20/2, alignment 15/15, fail:	399.578	463.062	832.516
Length   22/2, alignment  0/ 0, found:	426.438	492.344	920.422
Length   22/2, alignment  0/ 0, fail:	417.484	479.328	943.203
Length   22/2, alignment  0/ 3, found:	426.438	491.547	918.781
Length   22/2, alignment  0/ 3, fail:	417.484	480.953	927.734
Length   22/2, alignment  0/ 9, found:	425.625	493.156	917.969
Length   22/2, alignment  0/ 9, fail:	417.484	480.953	929.359
Length   22/2, alignment  0/15, found:	426.438	492.359	916.344
Length   22/2, alignment  0/15, fail:	416.656	480.141	943.188
Length   22/2, alignment  3/ 0, found:	426.438	493.984	917.156
