                        	bzero	builtin_bzero	simple_bzero
Length 4128, alignment  1, c  0:	1808.28	925.281	6948.23
Length 4256, alignment  0, c  0:	1397.3	956.219	7167.16
Length 4256, alignment  5, c  0:	1419.27	961.906	7159.83
Length 4384, alignment  0, c  0:	1447.77	973.297	7381.19
Length 4384, alignment  9, c  0:	1914.06	978.188	7372.23
Length 4512, alignment  0, c  0:	1478.67	1000.98	7592.77
Length 4512, alignment 13, c  0:	1490.88	1005.05	7594.39
Length 4640, alignment  0, c  0:	1518.56	1027.02	7808.42
Length 4640, alignment 17, c  0:	2220.06	1041.67	7820.64
Length 4768, alignment  0, c  0:	1566.58	1062.02	8020.02
Length 4768, alignment 21, c  0:	1579.59	1068.52	8020.83
Length 4896, alignment  0, c  0:	1599.12	1079.92	8241.38
Length 4896, alignment 25, c  0:	2128.09	1094.56	8234.86
Length 5024, alignment  0, c  0:	1647.12	1106.77	8446.45
Length 5024, alignment 29, c  0:	1658.53	1121.42	8453.78
Length 5152, alignment  0, c  0:	1687.02	1134.44	8659.67
Length 5152, alignment 33, c  0:	2233.89	1149.09	8660.48
Length 5280, alignment  0, c  0:	1718.75	1160.48	8873.7
Length 5280, alignment 37, c  0:	1739.91	1163.75	8894.05
Length 5408, alignment  0, c  0:	1767.58	1196.28	9095.05
Length 5408, alignment 41, c  0:	2746.59	1201.98	9096.67
Length 5536, alignment  0, c  0:	1806.64	1222.33	9309.08
Length 5536, alignment 45, c  0:	1821.3	1227.2	9306.64
Length 5664, alignment  0, c  0:	1848.14	1247.56	9521.48
Length 5664, alignment 49, c  0:	2448.73	1254.06	9521.48
Length 5792, alignment  0, c  0:	1888.02	1277.67	9733.88
Length 5792, alignment 53, c  0:	1898.59	1282.55	9734.7
Length 5920, alignment  0, c  0:	1927.08	1312.66	9948.73
Length 5920, alignment 57, c  0:	2555.34	1308.59	9947.11
Length 6048, alignment  0, c  0:	1967.78	1329.75	10162.8
Length 6048, alignment 61, c  0:	1976.72	1325.69	10355.6
Length 6176, alignment  0, c  0:	2018.22	1347.66	10374.3
Length 6176, alignment  1, c  0:	2669.28	1361.5	10376
Length 6304, alignment  0, c  0:	2046.72	1381.03	10589.2
Length 6304, alignment  5, c  0:	2058.91	1387.53	10595.7
Length 6432, alignment  0, c  0:	2089.03	1420.91	10809.7
Length 6432, alignment  9, c  0:	2775.88	1415.2	10799.1
Length 6560, alignment  0, c  0:	2128.09	1437.17	11021.3
Length 6560, alignment 13, c  0:	2139.48	1441.25	11013.2
Length 6688, alignment  0, c  0:	2167.97	1462.41	11233.7
Length 6688, alignment 17, c  0:	2885.73	1466.47	11414.4
Length 6816, alignment  0, c  0:	2208.66	1481.12	11441.2
Length 6816, alignment 21, c  0:	2219.25	1494.14	11461.6
Length 6944, alignment  0, c  0:	2246.09	1515.3	11661
Length 6944, alignment 25, c  0:	2990.72	1521	11661.8
Length 7072, alignment  0, c  0:	2285.16	1542.16	11875
Length 7072, alignment 29, c  0:	2298.19	1547.05	11875.8
Length 7200, alignment  0, c  0:	2326.66	1572.27	12088.2
Length 7200, alignment 33, c  0:	3090.02	1566.58	12089
Length 7328, alignment  0, c  0:	2375.5	1788.73	12316.1
Length 7328, alignment 37, c  0:	2379.56	1599.92	12302.2
Length 7456, alignment  0, c  0:	2407.22	1622.72	12516.3
Length 7456, alignment 41, c  0:	3194.98	1619.47	12514.6
